fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
NaN,13316.8342113495,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17307.2392940521,17494.9181079865,18527.9293060303,NaN,18721.3014739729,18831.2380313873,19564.2583370209,20165.9605503082,NaN
25982.3215007782,26260.0305080414,27303.3635616302,NaN,27496.7357295729,27693.3436393738,28426.3639450073,29028.0661582947,NaN
32017.4088478088,32120.0957298279,33137.4192237854,NaN,33330.791391728,33596.1301326752,34327.1434307098,34927.1664619446,NaN
39172.506570816,39411.2215042114,40426.5379905701,40576.5333175659,40702.9054855085,NaN,42098.2384681702,42673.5625267029,NaN
45758.5878372192,46201.283454895,47413.6176109314,NaN,47556.989778874,47854.3062210083,48585.3192806244,49186.3255500793,NaN
51961.3654613495,51967.3864841461,53163.7053489685,NaN,53307.0775169111,53573.7557411194,54306.7350387573,54908.3964824677,NaN
57727.7553081512,57895.4453468323,59400.47955513,NaN,59543.8517230726,59615.4787540436,60346.4918136597,60946.5148448944,NaN
63645.8609104156,63804.5399188995,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65719.5837497711,65910.5801582336,67272.9096412659,67523.9126682281,67650.2848361708,67597.8863239288,68328.8996219635,68929.6188354492,NaN
72020.9519863129,72289.6494865417,73357.9683303833,NaN,73534.3404983259,73802.9987812042,74536.0188484192,75137.6802921295,NaN
79075.0422477722,79523.7591266632,80546.0796356201,80646.0630893707,80772.4352573134,NaN,82167.1125888824,82743.0920600891,NaN
85293.8351631165,85447.8447437286,86480.1597595215,86631.1790943146,86757.5512622572,NaN,88151.2048244476,88727.2253036499,NaN
91211.2445831299,91441.9312477112,92548.2606887817,NaN,92691.6328567244,NaN,NaN,NaN,92643.9433097839
102812.386274338,102952.059745789,104418.100118637,104618.394613266,104744.766781209,NaN,106138.133525848,106813.441038132,NaN
108713.452577591,108966.134786606,110000.497579575,110301.471710205,110427.843878148,110337.475538254,111068.48859787,111670.191049576,NaN
114731.541395187,114918.23720932,NaN,NaN,NaN,NaN,NaN,NaN,NaN
116152.566671371,116243.252038956,117790.598154068,NaN,117933.970322011,118090.261459351,118821.274518967,119421.297550201,NaN
122004.317045212,122115.318775177,123140.67029953,NaN,123284.042467473,123570.668458939,124301.681518555,124902.359962463,NaN
127888.425827026,128059.392929077,129341.727733612,129442.734956741,129569.107124684,NaN,130961.777687073,131638.764381409,NaN
133821.809530258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
135961.846828461,136397.53818512,137449.841499329,NaN,137576.213667271,137698.550701141,138430.546760559,139030.570030212,NaN
142163.928031921,142367.62213707,143918.941020966,144018.924474716,144145.296642659,144116.941690445,144847.95498848,145448.63319397,NaN
148132.004737854,148358.677387238,149553.030014038,149653.013467789,149779.385635731,NaN,151174.718379974,151850.722312927,NaN
154116.096973419,154466.755628586,155621.090173721,NaN,155747.462341664,156099.093437195,156832.11350441,157433.815956116,NaN
160234.169244766,160811.86914444,161889.199018478,162140.201807022,162266.573974965,NaN,163659.203529358,164236.207008362,NaN
