fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
NaN,28471.9114303589,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30170.2768802643,30394.9422836304,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32043.0090427399,32268.9852714539,33497.2937107086,33798.3088493347,33929.7843543643,33880.3107738495,34611.3238334656,35212.0022773743,NaN
38027.3878574371,38310.0528717041,39348.3889102936,39599.0641117096,39730.5396167392,NaN,41118.4341907501,41795.4211235046,NaN
44062.4752044678,44210.1359367371,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45616.4975166321,45641.1554813385,46687.1919631958,NaN,46868.6674682254,47101.1748313904,47832.1878910065,48432.2109222412,NaN
51400.5410671234,51633.2349777222,52671.5707778931,NaN,52903.0462829227,52933.5920810699,53666.5711402893,54268.2735919952,NaN
57401.6315937042,57582.3061466217,58638.6647224426,NaN,58870.1402274722,59025.6547927856,59759.0024471283,60360.6638908386,NaN
63337.3911380768,63422.4240779877,64439.7475719452,NaN,64671.2230769748,64651.7155170441,65384.735584259,65986.4790439606,NaN
69186.806678772,69280.4822921753,70306.8170547485,70557.8198432922,70689.2953483218,NaN,72079.8525810242,72756.8392753601,NaN
75037.8608703613,75141.571521759,76526.5929698944,NaN,76708.068474924,76953.8877010345,77686.9077682495,78288.6102199554,NaN
80905.9541225433,80941.6303634644,81958.9538574219,82359.9932193756,82491.4687244052,82385.9620094299,83118.9820766449,83720.6845283508,NaN
86706.0539722443,86933.709859848,88010.0567340851,88361.7391586304,88493.21466366,NaN,89881.0684680939,90458.0719470978,NaN
92707.103729248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94847.8372097015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97756.8571567535,97958.8720798492,99060.9006881714,NaN,99309.376193201,99418.194770813,100151.215076447,100752.917528152,NaN
103724.278688431,103937.967061996,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105278.301000595,105905.972242355,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108237.333536148,108451.021671295,109642.015695572,109992.346525192,110123.822030222,NaN,111511.389017105,112089.047908783,NaN
114222.408533096,114443.101167679,115492.414474487,NaN,115706.889979517,115932.44767189,116665.426969528,117267.129182816,NaN
120206.500768661,120421.172142029,121444.189071655,NaN,121658.664576685,122020.496368408,122753.516435623,123355.218887329,NaN
126190.551996231,126370.243549347,127428.567886353,127929.590702057,128061.066207086,127978.578805923,128709.592103958,129310.311317444,NaN
132143.350601196,132651.336669922,133663.66314888,134014.690160751,134146.165665781,NaN,135534.715890884,136110.695362091,NaN
138410.722255707,138812.417030334,140333.753347397,NaN,140548.228852426,140753.756999969,141484.770298004,142086.47274971,NaN
144579.830646515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
146719.540119171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
148875.87928772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
151015.588760376,151368.582010269,152653.9478302,NaN,152918.42333523,153116.918802261,153849.938869476,154451.641321182,NaN
157134.68503952,157918.700456619,158939.013957977,NaN,159203.489463007,159344.026565552,160077.046632767,160678.708076477,NaN
163686.073303223,163854.78758812,164890.092372894,NaN,165154.567877924,165453.087568283,166186.107873917,166787.810325623,NaN
169621.177196503,169845.842838287,170891.879320145,NaN,171156.354825174,171191.174030304,171924.194335938,172525.896549225,NaN
176040.264606476,176236.954450607,177595.966339111,178046.280622482,178177.756127512,178147.28808403,178879.284143448,179480.986595154,NaN
181991.343021393,182281.012058258,183345.357656479,NaN,183593.833161508,183749.346256256,184482.694149017,185084.355592728,NaN
188042.40489006,188108.104705811,NaN,NaN,NaN,NaN,NaN,NaN,NaN
192506.471395493,192725.156784058,193977.50878334,194378.507137299,194509.982642328,194462.188482285,195192.50535965,195793.18356514,NaN
198491.218805313,198597.22328186,199944.561481476,NaN,200176.036986505,200394.261360168,201125.274658203,201725.297689438,NaN
204710.339546204,204974.326610565,206013.645648956,206263.665676117,206395.141181147,NaN,207784.674167633,208362.374067307,NaN
210727.732181549,211161.416530609,212214.744091034,NaN,212396.219596064,212594.72990036,213325.742959976,213926.46241188,NaN
216929.485797882,217209.488391876,218650.829792023,219052.52456665,219184.00007168,NaN,220570.870637894,221147.874116898,NaN
223465.882539749,223925.576686859,225203.897237778,NaN,225435.372742807,225541.899204254,226274.919271469,226876.621723175,NaN
229683.979272842,230059.66424942,231371.981859207,NaN,231603.457364237,231823.688745499,232556.708812714,233156.690835953,NaN
235819.049835205,236035.728216171,237323.060035706,NaN,237554.535540735,237601.096630096,238334.075927734,238935.778141022,NaN
241803.14207077,241971.815347672,243241.16563797,NaN,243472.641143,243761.152982712,244494.173049927,245095.875501633,NaN
247738.205194473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
249878.242254257,249913.918495178,250998.252391815,NaN,251229.727896845,251220.255613327,251951.268911362,252552.274942398,NaN
255678.342103958,255791.023015976,NaN,NaN,NaN,NaN,NaN,NaN,NaN
257734.370231628,257916.027784348,259222.365140915,259473.367929459,259604.843434488,NaN,260994.089841843,261670.421361923,NaN
263670.129537582,263709.12361145,264722.432851791,NaN,264903.908356821,265178.440570831,265911.460876465,266513.163089752,NaN
269469.533205032,269725.205421448,270790.53401947,NaN,270972.0095245,271021.548509598,271754.527568817,272356.230020523,NaN
275487.581014633,275866.297245026,276875.633478165,NaN,277057.108983194,277228.626966476,277961.933851242,278563.636064529,NaN
281639.691114426,281917.359113693,282943.693637848,283244.708776474,283376.184281504,NaN,284764.734506607,285340.713977814,NaN
287674.450874329,288087.450504303,289178.788900375,NaN,289377.264405405,289639.793634415,290372.81370163,290974.47514534,NaN
293842.863082886,294041.51892662,295380.870103836,NaN,295579.345608866,295882.548093796,296612.905979156,297213.584423065,NaN
