fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
9058.96019935608,9198.63390922546,10540.9750938416,NaN,NaN,10774.2831707001,11506.2794685364,12107.654094696,NaN
15002.9935836792,15182.685136795,16235.0294589996,NaN,NaN,16533.013343811,17266.0336494446,17867.7361011505,NaN
20996.0560798645,21101.7737388611,22178.0796051025,NaN,NaN,22685.0824356079,23418.1027412415,24019.8051929474,NaN
26906.1334133148,27005.8300495148,28355.1344871521,NaN,NaN,28587.8281593323,29321.1760520935,29921.8544960022,NaN
32817.1939849854,32914.8836135864,34065.2041435242,NaN,NaN,34475.213766098,35206.2268257141,35806.9052696228,NaN
38727.2713184357,38888.9405727386,39909.2950820923,NaN,40078.5245574326,40128.267288208,40861.287355423,41462.9898071289,NaN
44705.014705658,44879.0128231049,45969.3269729614,NaN,46138.5564483017,46199.3584632874,46930.3715229034,47531.0499668121,NaN
50681.4064979553,50839.1025066376,52112.4258041382,NaN,52281.6552794785,52483.4005832672,53216.4208889008,53818.1231021881,NaN
56657.4704647064,56867.1445846558,57939.4774436951,58139.4851207733,58241.7145961136,NaN,59665.2040481567,60245.4845905304,NaN
62668.514251709,62815.2329921722,63850.5380153656,NaN,63985.7674907059,64089.5395278931,64820.5525875092,65421.2310314178,NaN
68628.6039352417,68787.2829437256,69893.6123847961,NaN,70062.8418601364,70118.6058521271,70851.625919342,71453.328371048,NaN
74638.6647224426,74811.3520145416,75821.3436603546,75970.6838130951,76072.9132884354,NaN,77495.7065582275,78297.7032661438,NaN
80615.7116889954,80762.4304294586,81848.4437465668,NaN,81967.6732219071,82174.7312545776,82905.7443141937,83506.463766098,NaN
86575.8421421051,86712.4848365784,87774.8234272003,NaN,87894.0529025406,88163.4926795959,88894.5059776306,89494.5290088654,NaN
92519.5479393005,92669.5432662964,93701.8582820892,NaN,93821.0877574295,93929.8825263977,94660.8955860138,95261.5740299225,NaN
98479.9242019653,98613.6176586151,99644.9494361877,99944.9405670166,100047.170042357,NaN,101470.946311951,102052.946805954,NaN
104422.974348068,104523.694992065,106071.000099182,NaN,106273.229574522,106351.002454758,107082.015752792,107682.693958282,NaN
110333.051919937,110475.756406784,111582.045078278,NaN,111784.274553618,111804.048299789,112537.068367004,113138.77081871,NaN
116294.820785522,116406.805515289,117792.154550552,NaN,117994.384025893,118035.825490952,118766.838788986,119366.820812225,NaN
122670.859098434,122838.87720108,123852.186441422,NaN,124054.415916762,124203.213691711,124934.554576874,125535.888195038,NaN
128647.250890732,128741.950511932,129812.276124954,NaN,130014.505600295,130035.262346268,130768.282651901,131369.984865189,NaN
134558.024644852,134716.990470886,135756.350278854,NaN,135958.579754195,136224.318504333,136957.338571548,137559.041023254,NaN
140534.375429153,140752.077817917,141949.420452118,142249.411582947,142351.641058287,142285.087585449,143016.100883484,143616.123914719,NaN
146562.13092804,146696.151971817,147710.444450378,147859.457015991,147961.686491331,147936.461687088,148669.481992722,NaN,149022.475242615
158316.258192062,158469.284772873,159497.585535049,NaN,159616.81501039,159737.283468246,160468.296527863,161068.27878952,NaN
164276.347875595,164422.329187393,165474.673509598,NaN,165593.902984938,165803.664207458,166536.684513092,167138.345956802,NaN
170236.396551132,170342.401027679,171351.737260818,NaN,171470.966736159,171702.723503113,172434.064388275,173035.439014435,NaN
176162.775993347,176311.460733414,177328.784227371,177411.810159683,177514.039635024,NaN,178938.799142838,179521.49605751,NaN
182122.824668884,182280.520677567,183755.531311035,NaN,183857.760786375,183981.876134872,184714.85543251,185316.557645798,NaN
188099.912643433,188246.5903759,189314.909219742,NaN,189417.138695082,189538.591623306,190269.604682922,190869.627952576,NaN
194059.96131897,194149.663686752,195376.661539078,195625.001907349,195727.231382689,NaN,197151.704072952,197732.025384903,NaN
199954.023361206,200069.73528862,201219.032049179,NaN,201371.261524519,201442.059278488,202175.079345703,202776.740789413,NaN
205881.099224091,206166.795253754,207296.799659729,NaN,207482.029135069,207514.133453369,208247.153520584,208848.814964294,NaN
211974.185943604,212109.845399857,213140.194177628,NaN,213325.423652968,213541.192531586,214274.212837219,214875.87428093,NaN
217918.219089508,218032.907247543,219250.238418579,NaN,219435.467893919,219497.268199921,220230.24725914,220831.949710846,NaN
223845.294952393,223995.003938675,225010.320425034,NaN,225195.549900374,225254.31895256,225987.339258194,226589.000701904,NaN
229805.384635925,229863.05642128,230904.38246727,231103.366136551,231205.595611891,231138.386964798,231871.407032013,232473.068475723,NaN
235682.448387146,235831.133127213,237180.437326431,NaN,237315.666801772,237414.441823959,238147.462129593,238748.140573502,NaN
241642.497062683,241781.187534332,242807.522296906,NaN,242942.751772246,243057.828903198,243790.848970413,244392.223596573,NaN
247586.571216583,247732.265949249,248752.25186348,NaN,248887.48133882,248974.582672119,NaN,NaN,249403.27000618
253879.624605179,254060.299158096,255461.335897446,NaN,255596.565372786,255700.665235519,NaN,NaN,256149.668693542
259872.687101364,260007.363557816,261054.710626602,NaN,261189.940101942,261459.723234177,262192.743301392,262794.404745102,NaN
265816.761255264,265995.469808578,267081.769943237,NaN,267283.999418578,267432.100772858,268164.793252945,268766.495704651,NaN
271810.519933701,271972.516775131,273458.832263947,273757.840394974,273860.069870314,273837.83531189,274570.855379105,275173.540830612,NaN
277787.567138672,277899.592638016,278985.892772675,NaN,279155.122248015,279212.893009186,279943.90630722,280544.625520706,NaN
283713.946580887,283856.651306152,285078.979492188,NaN,285248.208967528,285301.679134369,286032.651185989,286632.674217224,NaN
289658.717155457,289803.715467453,290906.031131744,NaN,291075.260607085,291258.041381836,291989.054441452,292589.732885361,NaN
295618.11041832,295741.768598557,296867.10357666,NaN,297036.333052,297195.111274719,297928.131580353,298529.793024063,NaN
301561.160564423,301718.856573105,302843.16778183,303093.187570572,303195.417045912,NaN,304620.176315308,305202.87322998,NaN
307538.207769394,307632.907152176,308837.909460068,NaN,308990.138935408,309078.221797943,309811.241865158,310412.944316864,NaN
313449.964523315,313612.985372543,314631.291866302,NaN,314783.521341643,314852.312088013,315583.325147629,316184.003591537,NaN
319425.332069397,319590.032339096,320674.366474152,NaN,320826.595949492,321200.047016144,321931.06007576,322531.083106995,NaN
325403.116464615,325566.096305847,326601.442337036,NaN,326753.671812376,327003.423690796,327736.443758011,328338.146209717,NaN
331380.163431168,331517.174720764,332578.489303589,NaN,332730.718778929,332873.483181,333604.496240616,334205.21569252,NaN
337323.541402817,337532.232522964,338738.545656204,NaN,338890.775131545,338980.578184128,339713.557481766,340315.259933472,NaN
343349.617481232,343528.28502655,344565.638065338,NaN,344734.867540678,344836.629390717,345567.642450333,346168.320894241,NaN
349343.662977219,349523.354530334,350725.694417953,350925.702095032,351027.931570372,NaN,352451.380252838,353252.393960953,NaN
355703.727006912,355854.418754578,356919.460773468,NaN,357054.690248808,357162.763118744,357895.783424377,358497.485637665,NaN
361664.512872696,361812.501430511,362828.841924667,NaN,362964.071400008,363089.838981628,363822.818279266,364424.520730972,NaN
367623.865365982,367765.586853027,368772.916078568,369072.907209396,369175.136684737,NaN,370599.609375,371179.930448532,NaN
373600.95334053,373768.64361763,374815.949678421,NaN,374985.179153761,375050.978183746,NaN,NaN,375333.970785141
380277.023792267,380431.688547134,381676.053524017,NaN,381878.282999358,381939.016580582,382672.036886215,383274.722337723,NaN
386370.765686035,386505.769968033,387602.105379105,NaN,387804.334854445,388131.103754044,388864.123821259,389465.785264969,NaN
392314.840078354,392464.83540535,393946.153879166,NaN,394148.383354506,394359.15350914,395092.173814774,395694.203853607,NaN
398274.233341217,398408.909797668,399423.243284225,NaN,399625.472759566,399923.241853714,400654.255151749,401255.91635704,NaN
404384.27734375,404529.972076416,405550.285816193,NaN,405752.515291533,405976.31072998,406709.290027618,407310.992240906,NaN
