fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
NaN,11201.9464969635,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12610.3150844574,12819.9894428253,13847.3072052002,NaN,NaN,14237.0007038116,14968.0137634277,15568.3236122131,NaN
19080.0700187683,19308.0945014954,20583.4250450134,20884.3989372253,20995.1797191079,20952.392578125,21684.4296455383,22286.1320972443,NaN
25081.1605453491,25120.1546192169,26167.5016880035,26418.1768894196,26528.9576713021,26487.1535301208,27218.4944152832,27819.1728591919,NaN
30881.5472126007,31080.2440643311,32101.5818119049,NaN,32262.3625937874,32508.5604190826,33241.5804862976,33843.2829380035,NaN
36848.6409187317,37077.3205757141,38137.3245716095,NaN,38298.105353492,38547.3339557648,39278.3472537994,39878.3702850342,NaN
42834.4125747681,43441.3986206055,44454.7491073608,NaN,44615.5298892434,44930.7453632355,45663.7654304504,46265.4268741608,NaN
49202.8322219849,49383.5067749023,50423.4812259674,50573.8043785095,50684.585160392,50625.8237361908,51359.1306209564,51961.5292549133,NaN
55136.8713378906,55624.5820522308,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57009.8903179169,57021.6047763824,58062.9308223724,NaN,58190.711604255,58456.597328186,59187.6106262207,59787.6336574554,NaN
62776.9763469696,63536.6613864899,64549.684047699,NaN,64677.4648295815,64912.9993915558,65646.0194587708,66247.7219104767,NaN
69296.0879802704,69568.75872612,70633.7597370148,NaN,70761.5405188973,71173.7763881683,71904.7894477844,72504.8124790192,NaN
75331.1343193054,75644.8469161987,76668.1916713715,NaN,76795.972453254,76994.8885440826,77725.8608341217,78325.8838653564,NaN
81399.9319076538,81638.9334201813,82669.2411899567,NaN,82797.0219718392,83074.2537975311,83805.3078651428,84406.9693088531,NaN
87400.3260135651,87750.0016689301,88939.0294551849,89039.0129089355,89149.7936908181,NaN,90557.3589801788,91134.3624591827,NaN
93502.3829936981,93665.0762557983,94739.4158840179,NaN,94850.1966659005,95020.4424858093,95751.4147758484,96352.1339893341,NaN
99419.4645881653,99597.1901416779,100723.508119583,NaN,100834.288901466,100999.49669838,101732.516765594,102334.2192173,NaN
105354.240894318,105811.272621155,106841.58039093,NaN,106952.361172813,107272.602558136,108003.615617752,108604.294061661,NaN
111572.665214539,111966.331720352,113111.368656158,NaN,113222.149438041,113568.686962128,114299.700260162,114900.378465652,NaN
117725.430727005,117885.420560837,119195.771932602,NaN,119306.552714484,119691.756486893,120422.769546509,121023.447990417,NaN
123641.815900803,123854.521274567,124896.502733231,NaN,125007.283515113,125134.849071503,125867.828130722,126469.530582428,NaN
129610.589027405,129924.588441849,130946.909189224,NaN,131057.689971107,131234.898805618,131965.912103653,132567.61431694,NaN
135677.994012833,135786.660909653,136832.69739151,NaN,136943.478173393,137102.664709091,137833.022356033,138433.700799942,NaN
141546.742677689,141764.731884003,142816.093206406,142967.071771622,143077.852553504,NaN,144489.104270935,145165.108203888,NaN
147530.834913254,147777.8236866,148834.141016006,NaN,148961.921797889,149270.856618881,150002.156496048,150602.875947952,NaN
