fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
19427.0832538605,19583.7962627411,20692.0919418335,NaN,NaN,20930.1104545593,21661.1235141754,22261.8019580841,NaN
25387.1726989746,25571.8615055084,26586.1539840698,NaN,NaN,26856.1623096466,27587.1753692627,28187.894821167,NaN
31397.2334861755,31609.897851944,32646.2268829346,NaN,NaN,32895.2226638794,33628.5705566406,34229.9451828003,NaN
37424.9892234802,37573.9605426788,38723.2983112335,NaN,NaN,38950.2985477448,39681.3116073608,40281.9900512695,NaN
43384.3414783478,43540.0304794312,44816.3850307465,NaN,NaN,45154.3867588043,45887.3660564423,46489.0685081482,NaN
49361.4294528961,49511.0971927643,50527.4376869202,50826.4458179474,50923.3478223558,NaN,52354.1309833527,52934.4520568848,NaN
55321.4781284332,55457.1785926819,56487.4863624573,NaN,56651.3883668657,56829.5023441315,57560.5154037476,58161.1938476563,NaN
61265.5522823334,61403.2597541809,62747.5669384003,NaN,62911.4689428087,63086.592912674,63819.5722103119,64421.2746620178,NaN
67225.6009578705,67391.3249969482,68424.6230125427,NaN,68621.5250169511,68646.3394165039,69377.311706543,69977.3347377777,NaN
73202.6889324188,73308.3658218384,74385.3681087494,NaN,74532.2701131578,74608.7229251862,75341.7019844055,75943.4044361115,NaN
79129.7647953033,79316.4196014404,80744.776725769,80827.7616500854,80924.6636544939,NaN,82356.470823288,83157.4845314026,NaN
85772.8214263916,85935.5144500732,86970.8604812622,87121.5114593506,87218.413463759,NaN,88647.8447914124,89448.858499527,NaN
92764.8983001709,92905.5957794189,93930.9065341949,NaN,94044.8085386033,94204.9288749695,94937.9081726074,95539.6106243134,NaN
98724.987745285,98862.6544475555,100224.000930786,100472.996711731,100569.898716139,NaN,102001.009702682,102583.706617355,NaN
104785.019874573,104948.736906052,105984.738349915,NaN,106131.640354323,106498.049020767,107231.069087982,107832.771539688,NaN
110762.107849121,110881.793022156,111994.102716446,NaN,112141.004720854,112206.11166954,112939.131736755,113540.834188461,NaN
116689.183712006,116788.83934021,117988.189220428,NaN,118135.091224837,118318.859100342,119049.872398376,119649.895429611,NaN
122599.91645813,122764.903306961,123965.236186981,NaN,124112.13819139,124166.267871857,124899.246931076,125500.949382782,NaN
128577.004432678,128695.993185043,130274.304866791,NaN,130421.206871199,130593.301534653,131326.321601868,131928.065061569,NaN
134503.383874893,134663.046121597,135719.363451004,NaN,135866.265455412,135931.372404099,136662.385702133,137263.063907623,NaN
140463.43255043,140632.105827332,142028.432369232,NaN,142175.334373641,142335.468530655,143068.447589874,143670.15004158,NaN
146440.479755402,146577.204227448,147889.521598816,NaN,148036.423603224,148121.519088745,148854.825973511,149456.20059967,NaN
152384.553909302,152538.235902786,153666.56088829,NaN,153813.462892699,153893.27454567,154624.287605286,155224.269866943,NaN
158344.643592834,158508.319616318,159560.336351395,NaN,159707.238355803,159772.345304489,160503.358364105,161103.340387344,NaN
164322.386980057,164479.386568069,165486.756801605,NaN,165633.658806014,165764.711380005,166497.73144722,167099.39289093,NaN
170299.433946609,170433.454990387,171446.764469147,NaN,171626.666473555,171756.463050842,172487.476110458,173087.458133698,NaN
176242.525100708,176435.528516769,177623.860120773,NaN,177803.762125182,177850.860357285,178581.832647324,179182.552099228,NaN
182252.585887909,182541.599750519,183717.889070511,183916.913509369,184013.815513777,183939.974069595,184672.912359238,185274.614810944,NaN
