fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
NaN,14943.5606002808,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16417.5882339478,17136.6000175476,18171.945810318,NaN,NaN,18562.9501342773,19295.9702014923,19897.6316452026,NaN
22902.9898643494,23100.7037162781,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24274.002790451,24420.7215309143,25762.0387077332,26079.0281295776,26186.890416851,NaN,27581.7687511444,28257.0762634277,NaN
30191.0843849182,30249.7801780701,31362.1308803558,31813.7967586517,31921.6590459251,32163.1445884705,NaN,NaN,32170.1078414917
41609.9541187286,41725.9528636932,42863.2893562317,43314.9552345276,43422.817521801,NaN,44833.3015441895,45510.329246521,NaN
48212.3374938965,48395.0192928314,49415.3738021851,NaN,49640.2360894584,NaN,NaN,NaN,50111.3660335541
59764.2045021057,59918.1730747223,61100.5244255066,NaN,61341.38671278,61530.1947593689,62261.2080574036,62861.2310886383,NaN
65681.572675705,66011.2597942352,67035.5875492096,NaN,67276.449836483,67463.6194705963,68194.6325302124,68795.3109741211,NaN
71832.6587677002,72063.3456707001,73086.6901874542,NaN,73327.5524747276,73667.7079200745,74398.7209796906,74999.3994235992,NaN
77833.7495326996,77907.4363708496,79154.7503471375,NaN,79362.6126344108,79393.7520980835,80126.7721652985,80728.4746170044,NaN
83667.8459644318,83756.5245628357,84955.83319664,85272.8636264801,85380.7259137535,NaN,86775.5632400513,87450.8707523346,NaN
89518.9001560211,89697.6087093353,90738.9347553253,NaN,90913.7970425987,91021.92735672,91752.9404163361,92353.6188602448,NaN
95454.0040493011,95600.6820201874,96941.015958786,NaN,97115.8782460594,97270.7030773163,98001.7161369324,98601.7391681671,NaN
101371.741056442,101559.747457504,102942.106485367,103310.091257095,103417.953544369,103422.116756439,104155.096054077,104756.798505783,NaN
107322.164058685,107505.828857422,108543.837070465,NaN,108734.699357738,109034.169197083,109767.189502716,110368.891716003,NaN
114026.251077652,114231.952428818,115296.257019043,115547.956228256,115655.81851553,115565.282344818,116298.957824707,116899.963855743,NaN
119993.304014206,120158.004045486,121297.347545624,121498.338222504,121606.200509777,NaN,123018.363952637,123695.391654968,NaN
127950.439453125,128296.141862869,129321.452379227,129672.438621521,129780.300908794,129730.437994003,130461.451292038,131062.170505524,NaN
134053.192615509,134257.214307785,135757.538318634,NaN,135948.400605907,136239.555597305,136970.568656921,137571.24710083,NaN
140020.614147186,140108.268499374,141441.598415375,NaN,141632.460702648,141687.604188919,142420.624256134,143022.32670784,NaN
145870.685100555,146032.35411644,147191.686153412,NaN,147366.548440685,147420.365810394,148151.37887001,148751.401901245,NaN
151789.446115494,151921.460151672,153109.791755676,153259.787082672,153367.649369945,NaN,154781.123399734,155357.799291611,NaN
157690.512418747,157792.543649673,NaN,NaN,NaN,NaN,NaN,NaN,NaN
158959.862709045,159197.553634644,160365.568876266,NaN,160556.43116354,160606.864213943,161339.884519577,161941.586971283,NaN
164961.936235428,165337.621450424,166381.937503815,NaN,166572.799791088,166652.969837189,167385.949134827,167987.651586533,NaN
171097.007036209,171311.719417572,172334.736347198,NaN,172525.598634472,172680.725336075,173411.738634109,174011.761665344,NaN
177064.79716301,177154.786348343,178184.111118317,NaN,178374.97340559,178445.108175278,179178.128242493,179779.830694199,NaN
182915.195941925,183002.850294113,184369.194030762,NaN,184560.056318035,184631.21509552,185364.194154739,185965.896606445,NaN
189000.254392624,189376.963615417,190404.281377792,NaN,190595.143665066,190665.278434753,191398.298501968,192000.000953674,NaN
195135.365962982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
197274.379253387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
199432.111024857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
203995.46456337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
206135.174036026,206184.203147888,207271.527290344,NaN,207462.389577618,207692.186594009,208422.544240952,209023.22268486,NaN
211952.558994293,211960.259437561,213138.596773148,213507.277727127,213615.1400144,213528.617858887,214261.597156525,214863.299608231,NaN
218254.6646595,218712.351560593,219842.683792114,NaN,220033.546079388,220143.985509872,220876.67798996,221478.380441666,NaN
224472.761392593,224661.422967911,225793.762207031,NaN,225984.624494305,226074.788808823,226805.760860443,227406.480312347,NaN
230423.839569092,230453.494787216,231543.849945068,NaN,231734.712232342,231940.547466278,232671.560525894,233271.542787552,NaN
236291.892051697,236611.58490181,237830.595493317,NaN,238021.45778059,238077.912092209,238811.628580093,239411.651611328,NaN
242377.687931061,242401.690483093,243497.001886368,NaN,243687.864173641,243804.693460464,244535.706520081,245135.729551315,NaN
248160.052061081,248380.785703659,249481.790304184,NaN,249672.652591457,249858.089923859,250591.109991074,251192.81244278,NaN
254145.168304443,254323.835849762,255365.858316422,NaN,255556.720603695,255609.160661697,256342.180728912,256943.883180618,NaN
260597.228527069,260887.921571732,NaN,NaN,NaN,NaN,NaN,NaN,NaN
262754.263877869,263033.938884735,264058.96282196,264258.274316788,264366.136604061,NaN,265779.323816299,266456.310749054,NaN
268805.366754532,269020.038127899,270042.358636856,NaN,270233.220924129,270386.381864548,271119.442939758,271721.063375473,NaN
275258.450984955,275472.139120102,276528.456687927,NaN,276719.318975201,277130.159139633,277863.138198853,278463.161230087,NaN
281242.501974106,281390.203952789,282697.52407074,282947.5440979,283055.406385174,NaN,284466.545581818,285142.590284348,NaN
287143.609285355,287357.29765892,288397.599697113,NaN,288555.461984386,288676.619291306,289409.639358521,290011.341810226,NaN
293111.685991287,293263.360977173,294298.706769943,NaN,294456.569057217,294681.76484108,295414.703130722,296016.405344009,NaN
299029.750823975,299123.467206955,300366.766929626,300718.490600586,300826.352887859,300735.775709152,301469.492197037,302070.498228073,NaN
304879.821777344,305146.512269974,306434.868097305,NaN,306625.730384579,306821.858167648,307555.20606041,308156.86750412,NaN
310915.605545044,310938.624858856,312452.95715332,NaN,312643.819440594,312890.655755997,313620.972394943,314221.650838852,NaN
316698.993682861,316798.690319061,317902.029752731,NaN,318092.892040005,318225.040197372,318958.060503006,319559.721946716,NaN
322566.062927246,322778.76830101,323787.776947021,NaN,323978.639234295,324177.10185051,324908.114910126,325508.793354034,NaN
328551.179170609,328568.832874298,330005.177259445,NaN,330180.039546719,330272.195577621,331005.174636841,331606.877088547,NaN
335020.23768425,335330.960273743,336357.95044899,336558.285713196,336666.148000469,NaN,338078.966617584,338755.298137665,NaN
