fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
NaN,11423.1715202332,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12910.5110168457,13138.2076740265,14432.5437545776,NaN,14621.8410648816,14736.5489006042,15467.5619602203,16069.2644119263,NaN
18895.5862522125,18980.2916049957,20098.6223220825,NaN,20287.9196323865,NaN,NaN,NaN,20447.601556778
24747.3776340485,24857.3551177979,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26033.6854457855,26231.3992977142,27587.7077579498,27905.7211875916,28028.0184978956,27921.7367172241,28652.7497768402,29253.4282207489,NaN
31985.4600429535,32282.4611663818,33304.7816753387,NaN,33494.0789856428,33585.8082771301,34316.8213367462,34917.4997806549,NaN
38035.8664989471,38193.5625076294,39222.8872776031,NaN,39412.1845879072,39716.578245163,40447.5913047791,41047.5733280182,NaN
43953.9310932159,44178.6377429962,45475.6362438202,45691.9460296631,45814.2433399671,NaN,47196.6524124146,47773.0007171631,NaN
49938.0233287811,50095.7193374634,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51292.0379638672,51836.7240428925,53081.0480117798,NaN,53320.3453220838,53503.0589103699,54236.0789775848,54837.7814292908,NaN
57594.799041748,57878.8156509399,58932.1429729462,NaN,59171.4402832502,59336.1315727234,60069.1516399384,60670.8540916443,NaN
63646.8846797943,63737.8978729248,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64916.2352085114,65039.8933887482,66421.924829483,66738.9142513275,66861.2115616315,NaN,68240.2620315552,NaN,68330.2512168884
76417.3936843872,76625.0607967377,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77788.4066104889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79944.4181919098,80252.1097660065,81415.4555797577,NaN,81604.7528900617,81742.1526908875,82473.1247425079,83073.1477737427,NaN
86012.5193595886,86178.2026290894,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87401.2272357941,87512.2287273407,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88705.2297592163,88836.2197875977,89875.2522468567,NaN,90064.5495571607,90301.5637397766,91034.5840454102,91636.2864971161,NaN
94588.6421203613,94612.3170852661,95658.6403846741,NaN,95847.9376949781,96081.6342830658,96814.6543502808,97416.3568019867,NaN
100372.685670853,100445.38974762,NaN,NaN,NaN,NaN,NaN,NaN,NaN
101610.414981842,101931.418657303,103013.745546341,NaN,103203.042856645,103526.441812515,104257.45511055,104857.437133789,NaN
107694.818258286,107952.4974823,108981.822490692,NaN,109171.119800996,109431.522130966,110162.535429001,NaN,110243.144750595
119312.958478928,119431.660413742,120532.992839813,120833.966970444,120956.264280748,NaN,NaN,NaN,122315.981864929
125197.026252747,125728.728055954,126852.75220871,NaN,127042.049519014,127263.745069504,127994.75812912,128594.781160355,NaN
131482.133388519,131665.798187256,133003.838300705,NaN,133193.135611009,133391.156196594,NaN,NaN,133650.146245956
137433.211803436,137681.879997253,138771.211147308,NaN,138960.508457612,139178.230762482,NaN,NaN,139565.220832825
143451.300859451,143523.963928223,NaN,NaN,NaN,NaN,NaN,NaN,NaN
144688.292741776,144778.978347778,NaN,NaN,NaN,NaN,NaN,NaN,NaN
145959.322452545,146148.025274277,NaN,NaN,NaN,NaN,NaN,NaN,NaN
147630.326747894,147750.011920929,NaN,NaN,NaN,NaN,NaN,NaN,NaN
148951.368570328,149133.026123047,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150405.366659164,150675.047397614,151759.381532669,NaN,152014.678842973,152171.398162842,152904.418230057,153506.120681763,NaN
156440.454006195,156901.131153107,NaN,NaN,NaN,NaN,NaN,NaN,NaN
158412.473201752,158727.169036865,NaN,NaN,NaN,NaN,NaN,NaN,NaN
160201.52425766,160225.198984146,161237.525463104,NaN,161476.822773408,161501.225948334,162232.23900795,162832.221031189,NaN
165985.608577728,166071.255922318,NaN,NaN,NaN,NaN,NaN,NaN,NaN
167255.614280701,168088.290214539,NaN,NaN,NaN,NaN,NaN,NaN,NaN
169312.625646591,169444.312095642,NaN,NaN,NaN,NaN,NaN,NaN,NaN
170633.339881897,170982.359886169,172020.654916763,NaN,172225.952227067,172340.675592422,173074.678659439,173675.398111343,NaN
176750.715732574,176909.435749054,NaN,NaN,NaN,NaN,NaN,NaN,NaN
178455.757856369,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
180946.781158447,181296.497583389,NaN,NaN,NaN,NaN,NaN,NaN,NaN
182467.830657959,182580.511569977,183622.493028641,183888.814926147,184011.112236451,NaN,185392.538547516,185967.862606049,NaN
188335.883140564,188552.56152153,189806.920528412,NaN,189979.217838716,190100.603818893,190831.61687851,NaN,191167.939424515
200489.042758942,200684.74984169,202227.75387764,NaN,202400.051187944,202663.076877594,203396.096944809,203997.799396515,NaN
206440.121173859,206560.830354691,207694.849014282,NaN,207867.146324586,207975.834608078,208706.847667694,209306.870698929,NaN
212324.229955673,212653.917074203,213678.900241852,NaN,213901.197552156,213986.222982407,214719.24328804,215320.945501328,NaN
218409.288644791,218853.991270065,219913.298845291,NaN,220135.596155595,220398.633956909,221131.326436996,221733.028888702,NaN
224612.066268921,224939.090967178,225948.386192322,NaN,226170.683502626,226380.391359329,227111.404418945,227712.12387085,NaN
230712.484836578,230781.133651733,NaN,NaN,NaN,NaN,NaN,NaN,NaN
232033.485651016,232412.160873413,233838.510990143,NaN,234010.808300447,234248.520612717,234981.540679932,235583.202123642,NaN
238168.556451797,238307.246923447,239421.563863754,NaN,239593.861174058,239717.581748962,240450.601816177,241052.304267883,NaN
244069.663763046,244466.32027626,245489.665031433,245691.351890564,245813.649200868,NaN,247212.360620499,NaN,247696.712732315
255821.49720192,255975.506782532,257057.833909988,NaN,257213.131220292,257382.810592651,258115.830659866,258717.533111572,NaN
261739.561796188,261981.594562531,263192.90471077,263443.907499313,263566.204809617,263477.576732635,264207.934379578,264808.612823486,NaN
