fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
22202.9423713684,22302.6390075684,23401.9644260406,23701.9555568695,23822.5574955904,NaN,NaN,NaN,24695.9726810455
28014.6749019623,28185.6827735901,29362.0131015778,NaN,29549.6150402987,29604.7010421753,30335.71434021,30935.7373714447,NaN
33891.738653183,34038.7439727783,35106.0795783997,NaN,35293.6815171206,35348.7677574158,36079.7808170319,36679.8038482666,NaN
39984.8253726959,40126.8336772919,41200.1495361328,41399.8293876648,41520.4313263857,NaN,NaN,NaN,41532.130241394
45944.2186355591,46066.8938159943,47076.2300491333,NaN,47229.8319878542,47314.2077922821,48047.2278594971,48648.930311203,NaN
51871.253490448,51977.9541492462,53053.277015686,NaN,53206.878954407,53317.9607391357,54048.9737987518,54648.9968299866,NaN
57782.3138237,57910.0272655487,58915.0216579437,59113.3501529694,59233.9520916903,59156.0304164886,59887.0434761047,60487.0665073395,NaN
63726.101398468,63831.081867218,64841.4013385773,NaN,64995.0032772982,65139.4262313843,65870.4392910004,66471.1177349091,NaN
69635.4415416718,69784.1672897339,71334.1755867004,71417.4883365631,71538.090275284,NaN,72943.4940814972,73745.4907894135,NaN
75663.1970405579,75790.2140617371,77310.5263710022,77460.5629444122,77581.1648831332,NaN,78988.2481098175,79789.2618179321,NaN
81607.2714328766,81743.2994842529,82771.6002464294,NaN,82909.2021851504,82985.6162071228,83718.6365127563,84320.2979564667,NaN
87550.3625869751,87720.3464508057,88781.6610336304,NaN,88919.2629723513,89179.669380188,89913.3858680725,90514.3918991089,NaN
93526.7133712769,93683.4261417389,94708.7368965149,NaN,94846.3388352358,95251.743555069,95984.7638607025,96586.4663124084,NaN
99869.8198795319,100023.501634598,101184.799671173,NaN,101322.401609894,101419.828176498,102151.128053665,102752.502679825,NaN
105829.868555069,105964.54501152,106978.878498077,NaN,107116.480436798,107321.877479553,108052.890539169,108653.568983078,NaN
111773.942708969,111920.620441437,113388.954639435,113588.962316513,113709.564255234,NaN,115115.664243698,115695.985555649,NaN
117733.991384506,117835.695028305,119015.998363495,NaN,119169.600302216,119370.712041855,120101.725101471,120701.70712471,NaN
123644.068717957,123737.74433136,124926.772117615,NaN,125080.374056336,125292.09446907,126025.401353836,126626.775979996,NaN
129555.825710297,129663.796186447,131170.141220093,NaN,131323.743158814,131481.846809387,132212.859869003,132812.841892242,NaN
135998.874664307,136139.899730682,137213.215589523,NaN,137366.817528244,137436.201810837,138167.215108871,138767.89355278,NaN
141941.269397736,142076.969861984,143456.297874451,NaN,143609.899813172,143719.261169434,144452.281236649,145053.983688354,NaN
147885.343790054,147987.006425858,149268.030405045,NaN,149421.632343765,149497.365474701,150230.34453392,150833.029985428,NaN
153795.380115509,153933.087587357,155077.428102493,NaN,155248.030041214,155301.397323608,156034.417629242,156636.120080948,NaN
159756.165981293,160028.140544891,161387.480020523,161537.475585938,161658.077524658,NaN,163064.177513123,163644.498825073,NaN
165849.539518356,165943.21513176,166981.550931931,167231.243133545,167351.845072266,167304.234027863,168035.247087479,168635.229110718,NaN
171743.273973465,171892.286300659,173074.596881866,NaN,173245.198820587,173444.301843643,174175.314903259,174775.296926498,NaN
177702.667236328,177792.328596115,178802.361249924,178951.660394669,179072.26233339,NaN,180476.683139801,181058.683872223,NaN
183596.729278564,183730.422735214,184895.734786987,NaN,185033.336725708,185116.754770279,185849.734067917,186451.436519623,NaN
189540.803432465,189681.460142136,190689.485788345,NaN,190827.087727066,190934.79514122,191667.815446854,192269.517660141,NaN
195500.852108002,195599.524736404,196732.887983322,196982.866764069,197103.46870279,NaN,198509.8965168,199092.593669891,NaN
201410.970449448,201510.626316071,202726.605653763,NaN,202897.207592484,203021.92735672,203754.947423935,204356.649875641,NaN
207321.662425995,207417.672634125,208452.977657318,208753.009557724,208873.611496445,208808.018922806,209540.997982025,210142.741441727,NaN
213232.067584991,213378.745317459,214414.050340652,214563.062667847,214683.664606568,NaN,216090.092420578,216672.789335251,NaN
219192.81244278,219338.793992996,220374.139785767,NaN,220511.741724488,220596.143007278,221327.156066895,221927.834510803,NaN
225152.205705643,225253.868579865,226534.196138382,NaN,226671.798077103,226762.22038269,227495.199680328,228096.902132034,NaN
231062.938451767,231170.950174332,232644.281387329,232844.944238663,232965.546177384,NaN,234370.294809341,234951.271295547,NaN
236990.014314651,237121.987581253,238171.341657639,NaN,238324.943596359,238546.002864838,239277.015924454,239877.038955688,NaN
242934.047698975,243073.06599617,244631.389141083,NaN,244784.991079804,244873.094081879,245604.107141495,246204.089164734,NaN
248877.138853073,248976.139307022,250142.475128174,250441.483259201,250562.085197922,250456.474542618,251189.494609833,251791.156053543,NaN
254788.199424744,254921.196460724,256218.522548676,NaN,256406.124487396,256472.515583038,257205.535650253,257807.238101959,NaN
260730.594158173,260822.262763977,261846.590280533,262096.282482147,262216.884420868,262163.293123245,262893.61000061,263494.616031647,NaN
266640.630722046,266742.334365845,267773.33855629,267856.651306152,267977.253244873,NaN,269381.673812866,269963.674545288,NaN
272551.732063293,272694.395780563,273816.740751266,NaN,273937.342689987,274129.716157913,274863.432645798,275463.414669037,NaN
278511.780738831,278600.459098816,280142.80796051,280392.786979675,280513.388918396,280432.476997375,281163.49029541,281763.513326645,NaN
284405.515193939,284498.535394669,285537.85443306,285620.839357376,285741.441296097,NaN,287147.54152298,287948.555231094,NaN
290315.920352936,290453.586816788,291631.596565247,NaN,291752.198503967,291861.914634705,292595.631122589,293196.637153625,NaN
296258.970499039,296409.662485123,297641.001939774,NaN,297761.603878494,297871.975421906,298604.99548912,299206.697940826,NaN
302219.060182571,302314.742803574,303335.056304932,NaN,303455.658243653,303553.045511246,304286.065578461,304887.768030167,NaN
308130.775928497,308261.806964874,309295.104980469,309495.808839798,309616.410778519,309565.809488297,310296.822786331,310896.80480957,NaN
314073.867082596,314235.863924026,315289.191246033,NaN,315442.793184754,315651.195764542,316382.209062576,316982.887268066,NaN
320050.258874893,320151.921510696,321215.24310112,NaN,321368.845039841,321446.954011917,322177.926063538,322777.949094772,NaN
325960.295438766,326082.970619202,327392.994165421,NaN,327546.596104141,327655.302047729,328386.315107346,328987.03455925,NaN
331887.371301651,332010.046482086,333219.390392303,333303.071737289,333423.67367601,NaN,334829.405069351,335410.422801971,NaN
337832.100868225,337967.104911804,338980.45539856,339180.135250092,339300.737188812,339218.43290329,339951.453208923,340553.155422211,NaN
343774.495601654,343926.17058754,344941.200256348,345023.488998413,345144.090937134,NaN,346549.535751343,347131.536245346,NaN
349735.568284988,349878.232002258,350917.592048645,NaN,351038.193987366,351196.570634842,351927.583694458,352528.262138367,NaN
355695.616960526,355841.311693192,356910.654306412,357161.329507828,357281.931446549,NaN,NaN,NaN,357434.328079224
361655.706644058,361753.396272659,362788.414478302,NaN,362959.016417023,363024.712562561,363757.732868195,364359.394311905,NaN
367566.439390182,367653.438329697,368697.754621506,368947.774410248,369068.376348969,NaN,370473.780155182,371055.780887604,NaN
373459.805011749,373576.500177383,374857.851743698,NaN,375028.453682419,375209.86199379,375942.841291428,376544.543743134,NaN
379386.880874634,379504.55904007,380918.580055237,NaN,381089.181993958,381288.899421692,382021.919727325,382623.622179031,NaN
385314.653158188,385440.64617157,386545.951604843,NaN,386716.553543564,386919.670820236,387650.683879852,388250.665903091,NaN
391257.703304291,391410.729885101,392423.015356064,NaN,392593.617294785,392657.716035843,393388.729333878,393988.752365112,NaN
397217.096567154,397341.778755188,398832.804679871,NaN,399003.406618592,399050.097703934,399783.117771149,400384.820222855,NaN
403144.172430038,403295.847415924,404326.155185699,NaN,404496.75712442,404565.156698227,405296.169996262,405896.889209747,NaN
409105.204105377,409251.92284584,410337.239980698,410703.217506409,410823.81944513,410717.226028442,411450.942277908,412051.252126694,NaN
415498.281955719,415630.992412567,416680.305480957,NaN,416883.907419678,417069.302797318,417802.322864532,418404.025316238,NaN
