fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
19560.6536865234,19693.3641433716,21208.6794376373,NaN,NaN,21455.7092189789,22189.3846988678,22789.4077301025,NaN
25503.7448406219,25659.4338417053,26752.738237381,NaN,NaN,27246.7567920685,27979.7768592834,28581.4383029938,NaN
31598.4699726105,31744.4925308228,32779.7973155975,NaN,32942.9330004365,32981.8122386932,33714.8323059082,34316.5347576141,NaN
37558.5596561432,37725.5535125732,38756.8855285645,NaN,38920.0212134034,39002.5634765625,39733.5765361786,40333.5995674133,NaN
43534.9104404449,43690.5994415283,44950.651884079,NaN,45113.787568918,45203.9484977722,45934.9615573883,46535.640001297,NaN
49994.9986934662,50137.7034187317,51143.025636673,51360.0316047668,51440.1672896058,51404.7191143036,52135.7321739197,52735.7141971588,NaN
55955.7437896729,56056.7510128021,57070.1014995575,NaN,57183.2371843965,57344.0828323364,58077.10313797,58678.8053512573,NaN
61865.8211231232,62040.8022403717,63064.1467571259,63130.1333904266,63210.2690752656,NaN,NaN,NaN,63634.1462135315
67859.2112064362,68034.8887443542,69074.2077827454,NaN,69154.3434675843,69445.2233314514,70178.2433986664,70779.9048423767,NaN
73852.9698848724,73945.9490776062,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75184.2927932739,75336.0085487366,76399.2893695831,NaN,76479.4250544221,76609.2910766602,77342.3113822937,77944.0138339996,NaN
81144.341468811,81379.0421485901,82409.3501567841,NaN,82489.485841623,82995.3649044037,83728.3849716187,84330.0874233246,NaN
87189.0952587128,87359.1203689575,88420.4349517822,88487.117767334,88567.253452173,NaN,90013.4510993958,90714.4405841827,NaN
93164.4630432129,93298.1564998627,94380.4836273193,NaN,94460.6193121583,94613.1772994995,95346.4841842651,95947.2033977509,NaN
99108.537197113,99265.2502059937,100706.550598145,NaN,100786.686282984,100938.261508942,101669.274568558,102269.256591797,NaN
105068.626880646,105210.307598114,106568.295240402,NaN,106648.430925241,106793.616294861,107526.636362076,108128.338813782,NaN
111028.675556183,111168.349027634,112260.670423508,NaN,112340.806108347,112498.688936234,113229.70199585,113830.380439758,NaN
116989.748239517,117092.434883118,118104.761362076,118370.755434036,118450.891118875,NaN,119898.440599442,120448.77910614,NaN
124114.822149277,124275.508165359,125563.822984695,NaN,125693.958669534,125820.519447327,126551.532506943,127151.555538177,NaN
130092.565536499,130495.570898056,131573.883771896,NaN,131737.019456735,131766.887426376,132499.907493591,133101.609945297,NaN
136301.937580109,136453.653335571,137833.964586258,NaN,137997.100271097,138043.966293335,138776.986598969,139378.689050674,NaN
142279.025554657,142403.707742691,143694.029808044,143910.052776337,143990.188461176,NaN,145438.06552887,145990.042448044,NaN
148222.075939178,148352.779150009,149388.084173203,NaN,149501.219858041,149696.103334427,150429.123401642,151030.784845352,NaN
154549.166917801,154711.860179901,155764.16349411,NaN,155877.299178949,155972.158432007,156705.178499222,157306.880950928,NaN
160526.214122772,160656.917333603,161974.231958389,NaN,162104.367643228,162206.229448318,162939.290523529,163540.951967239,NaN
166469.305276871,166707.979202271,167718.298435211,NaN,167848.43412005,167977.984905243,168708.997964859,169309.020996094,NaN
172514.059305191,172650.046348572,173661.348819733,NaN,173791.484504572,173950.362443924,174681.375741959,175282.054185867,NaN
178456.413030624,178600.100755692,180138.435602188,NaN,180268.571287027,180411.433935165,181142.446994781,181743.12543869,NaN
184416.502714157,184517.182350159,185549.497365952,NaN,185679.633050791,185819.505691528,186550.518751144,187151.197195053,NaN
190327.563285828,190446.224212646,191509.54580307,NaN,191639.681487909,191915.582418442,192648.561477661,193250.263929367,NaN
196553.606033325,196701.30777359,197735.629796982,NaN,197865.765481821,198105.621337891,198836.634635925,199437.353849411,NaN
202514.67871666,202672.374725342,203879.71162796,NaN,204009.847312799,204091.720581055,204822.692871094,205423.412084579,NaN
208490.742683411,208718.439340591,209739.776849747,209890.468835831,209970.60452067,209942.774772644,210673.78783226,211274.466276169,NaN
214534.800291061,214626.509666443,215649.81341362,NaN,215746.949098459,215862.846374512,216595.82567215,217197.527885437,NaN
220445.574045181,220573.574066162,221676.913499832,NaN,221774.049184671,221902.889966965,222633.903026581,223234.58147049,NaN
226388.95201683,226500.649929047,227686.974287033,NaN,227784.109971872,227922.945022583,228655.965089798,229257.667541504,NaN
232316.027879715,232484.701156616,233664.021492004,NaN,233761.157176843,234031.023025513,234764.043092728,235365.745544434,NaN
238292.091846466,238439.752578735,240024.085521698,240090.112924576,240170.248609415,NaN,NaN,NaN,240644.096851349
244253.123521805,244347.823143005,245734.85159874,NaN,245814.987283579,246074.860572815,246805.873632431,247405.85565567,NaN
250163.897275925,250239.878177643,251395.236730576,NaN,251475.372415415,251686.216592789,252417.229652405,253017.908096313,NaN
256056.27989769,256207.954883575,257272.300481796,257338.287115097,257418.422799936,NaN,258865.316867828,259417.293787003,NaN
262033.327102661,262196.020126343,263249.347448349,263398.360013962,263478.495698801,NaN,264925.389766693,265477.366685867,NaN
268011.11125946,268163.113832474,269558.416366577,NaN,269655.552051416,269778.41258049,270509.425640106,271110.144853592,NaN
