fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
17628.6115646362,17767.3020362854,18793.6367988586,NaN,NaN,19049.309015274,19780.6499004364,20382.3113441467,NaN
23571.6617107391,23726.3677120209,24803.6975860596,NaN,NaN,25032.7050685883,25764.3735408783,26364.396572113,NaN
29548.7496852875,29698.4176635742,30780.7445526123,NaN,NaN,31006.4342021942,31737.7750873566,32338.4535312653,NaN
35508.7983608246,35660.5141162872,36674.8065948486,NaN,NaN,36994.4994449615,37724.8163223267,38326.5187740326,NaN
41469.8710441589,41653.5766124725,42685.5638027191,NaN,NaN,43129.8978328705,43861.8941307068,44463.5965824127,NaN
47462.9335403442,47626.6095638275,48812.6473426819,49128.6537647247,49240.3212736952,49167.9754257202,49899.9714851379,NaN,50030.9615135193
59034.0514183044,59209.7699642181,60782.101392746,NaN,60943.7689017164,NaN,NaN,NaN,61063.0869865417
65027.1139144897,65128.8175582886,66143.1510448456,NaN,66304.818553816,66510.1525783539,NaN,NaN,66939.1677379608
70938.8706684113,71076.8649578094,72086.2011909485,NaN,72247.8686999189,72432.231426239,73164.2274856567,73765.9299373627,NaN
76881.9618225098,77082.9527378082,78313.2681846619,NaN,78474.9356936323,78514.9552822113,79245.9683418274,79845.9913730621,NaN
82892.0226097107,83006.0143470764,84040.3363704681,NaN,84235.0038794386,84297.3604202271,85029.3564796448,85631.0589313507,NaN
88818.4022903442,89087.0997905731,90151.0767936707,NaN,90345.7443026411,90499.4006156921,NaN,NaN,91168.4002876282
94895.4734802246,95092.1635627747,96260.4656219482,NaN,96455.1331309187,96578.1514644623,97308.5091114044,97909.1875553131,NaN
100972.544908524,101115.208625793,102137.529373169,NaN,102332.196882139,NaN,NaN,NaN,102503.547906876
106932.593584061,107236.27114296,108264.612674713,NaN,108459.280183684,NaN,NaN,NaN,108632.597446442
113042.678594589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
115423.683404922,115591.373682022,116971.68469429,NaN,117166.352203261,117249.721288681,117982.741355896,118584.402799606,NaN
121400.771617889,121509.438276291,122582.754135132,NaN,122777.421644102,122893.763542175,123625.759601593,124227.462053299,NaN
127343.821763992,127482.512235641,128758.82601738,NaN,128953.49352635,129077.535629272,129808.835506439,130410.537958145,NaN
133287.895917892,133390.582799911,134502.892494202,NaN,134697.560003172,134850.888729095,135582.925796509,136183.604240417,NaN
139198.628902435,139296.646118164,140329.94389534,NaN,140524.61140431,140549.981117249,141281.977176666,141882.655620575,NaN
145108.706235886,145179.689884186,146207.007646561,NaN,146401.675155531,146431.017875671,147164.038181305,147765.740394592,NaN
150985.073566437,151124.788045883,152600.085496902,NaN,152794.753005873,152968.111038208,153700.107097626,154301.809549332,NaN
156962.161540985,157153.854370117,158294.180870056,NaN,158488.848379027,NaN,NaN,NaN,158672.856092453
162972.222328186,163059.91768837,164121.232271194,NaN,164315.899780165,NaN,NaN,NaN,164515.226602554
168899.257183075,168990.966796875,170048.308134079,170214.974403381,170326.641912352,170298.000335693,171029.30021286,171631.002664566,NaN
174809.334754944,174819.042205811,176042.02580452,NaN,176170.69331349,176412.058591843,177143.358469009,177745.060682297,NaN
180636.386156082,180791.092157364,181803.090810776,NaN,181931.758319746,182032.098293304,182762.414932251,183363.134384155,NaN
186613.47413063,186751.140832901,187845.468997955,NaN,187974.136506926,188203.500509262,188935.49656868,189537.199020386,NaN
192557.548522949,192696.238994598,194073.232412338,NaN,194201.899921309,194312.561511993,195045.253992081,195645.277023315,NaN
198500.598669052,198650.307416916,199667.303323746,NaN,199795.970832716,199954.637765884,200687.617063522,201289.31927681,NaN
204478.342056274,204597.371816635,205659.669399261,205776.692152023,205888.359660994,NaN,207270.708084106,207852.708816528,NaN
210404.721498489,210548.409223557,211669.730186462,NaN,211781.397695433,211937.73150444,212670.751571655,213272.454023361,NaN
216465.490818024,216602.50210762,217663.816690445,NaN,217775.484199415,218091.807603836,218822.820901871,219423.540115356,NaN
222408.868789673,222557.553529739,223939.871788025,NaN,224051.539296995,224264.561653137,224995.902299881,225596.58074379,NaN
228368.91746521,228468.61410141,229484.62677002,NaN,229596.29427899,229967.954874039,230700.974941254,231302.636384964,NaN
234278.99479866,234387.702703476,235394.990921021,NaN,235506.658429991,235855.709075928,236586.025953293,237187.728404999,NaN
240206.070661545,240349.758386612,241621.074914932,NaN,241732.742423903,242149.786472321,242881.782770157,243481.805801392,NaN
246166.119337082,246277.817249298,247332.823991776,247482.164144516,247593.831653486,NaN,249007.145881653,249589.18762207,NaN
252093.195199966,252394.865512848,253608.223676682,NaN,253736.891185652,253809.214353561,254541.906833649,255141.929864883,NaN
