fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
NaN,20722.975730896,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22602.9987335205,22873.9900588989,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24291.3289070129,24524.0228176117,25913.0582809448,NaN,26101.7858083441,26230.7031154633,26963.3955955505,27565.0570392609,NaN
31145.4524993896,31449.12981987,32817.1529769897,33067.4595832825,33189.1871106818,33162.4457836151,33895.4658508301,34497.168302536,NaN
37213.5126590729,37500.1916885376,38650.5532264709,NaN,38822.2807538702,38990.5211925507,39723.5414981842,40325.2439498901,NaN
43264.6152973175,43540.2760505676,44585.616350174,44786.3202095032,44908.0477369025,NaN,46306.9603443146,46983.6604595184,NaN
49299.6616363525,49466.3689136505,50485.6994152069,50786.714553833,50908.4420812323,50829.7226428986,51560.694694519,52161.4141464233,NaN
55233.7417602539,55279.4530391693,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56604.7959327698,56809.4730377197,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58209.4857692719,58416.4977073669,59696.8252658844,59797.8327274323,59919.5602548316,NaN,61315.8512115479,61992.8381443024,NaN
64176.8662929535,64525.5587100983,65547.9202270508,NaN,65669.6477544501,65911.8909835815,66642.9040431976,67243.6232566833,NaN
70278.9640426636,70648.6690044403,71682.991027832,NaN,71804.7185552313,72080.671787262,72811.6848468781,73411.7078781128,NaN
76414.7312641144,76624.73320961,77718.0783748627,77968.0571556091,78089.7846830084,NaN,79489.1068935394,80066.8067932129,NaN
82381.8249702454,82897.8390693665,84404.1430950165,NaN,84575.8706224158,84804.158449173,85537.1785163879,86138.8809680939,NaN
88667.2189235687,88787.887096405,89820.2428817749,NaN,89991.9704091742,90371.2368011475,91104.2568683624,91705.9593200684,NaN
94551.2866973877,94765.9990787506,95838.3319377899,96189.3181800842,96311.0457074835,NaN,97710.0400924683,98286.3471508026,NaN
100536.361932755,100838.073253632,101940.388679504,NaN,102179.116206904,102348.391294479,103079.404592514,103680.123806,NaN
106587.464570999,106848.134040833,107941.479444504,NaN,108180.206971903,108450.489282608,109181.502342224,109782.180786133,NaN
112605.553627014,112726.22179985,113825.547218323,NaN,114064.274745722,114132.583379745,114865.562438965,115467.264890671,NaN
118490.317821503,118727.312326431,119960.658788681,NaN,120199.38631608,120216.658830643,120949.679136276,121551.340579987,NaN
124491.408348083,125162.415027618,126179.738521576,NaN,126418.466048975,126657.741785049,127390.761852264,127992.423295975,NaN
