fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
25348.7112522125,25502.393245697,26513.6957168579,NaN,26730.7948997271,26808.4027767181,27539.7026538849,28141.4051055908,NaN
31208.7767124176,31370.445728302,32508.4784030914,NaN,32725.5775859606,32727.7781963348,33458.7912559509,34060.4937076569,NaN
37185.8236789703,37302.5186061859,38350.8489131927,NaN,38567.9480960619,38660.834312439,39392.8713798523,39993.549823761,NaN
43112.8995418549,43358.5774898529,44377.9082298279,NaN,44595.0074126971,44589.9171829224,45321.9132423401,45922.5916862488,NaN
49172.9724407196,49343.6527252197,50354.9551963806,50587.9766941071,50738.0758769762,50606.6544055939,51337.66746521,51937.6904964447,NaN
55150.0194072723,55320.699930191,56598.733663559,NaN,56781.8328464281,56830.0349712372,57562.0720386505,58163.7334823608,NaN
61127.1076202393,61240.7715320587,62292.7882671356,NaN,62475.8874500048,62573.1184482574,63306.0975074768,63907.7999591827,NaN
67070.1577663422,67406.8489074707,68735.1818084717,NaN,68918.2809913409,68979.1805744171,69711.1766338348,70312.8790855408,NaN
73230.2141189575,73323.9305019379,74895.934343338,NaN,75079.0335262072,75120.2313899994,75851.2444496155,76451.9639015198,NaN
79157.289981842,79246.9923496246,80422.2986698151,80507.0037841797,80657.1029670489,NaN,82033.33735466,82834.3510627747,NaN
85051.3520240784,85186.0284805298,86449.3577480316,NaN,86599.4569309008,86951.3635635376,87683.4006309509,88285.1030826569,NaN
90994.4021701813,91080.0905227661,92160.4514122009,NaN,92310.5505950701,92515.1650905609,93246.4649677277,93848.126411438,NaN
96888.5052204132,97051.1574745178,98153.5139083862,NaN,98303.6130912554,98595.1855182648,99326.1988162994,99926.2218475342,NaN
102866.248607635,102972.253084183,103997.563838959,104163.574695587,104313.673878456,NaN,105674.589157104,106255.606651306,NaN
108776.285171509,108877.292394638,110057.636737823,NaN,110224.735920693,110262.313842773,110994.31014061,111594.333171844,NaN
114686.362504959,114837.382078171,115934.700489044,NaN,116101.799671913,116293.387174606,117023.704051971,117624.38249588,NaN
120662.754297256,120791.450500488,121811.764240265,NaN,121978.863423134,122222.47004509,122953.442335129,123553.465366364,NaN
126606.828451157,126755.513191223,127789.507627487,NaN,127956.606810356,128109.81464386,128841.851949692,129443.513154984,NaN
