fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
11826.0951042175,11965.7685756683,12975.105047226,NaN,13164.3057965237,13266.1256790161,13999.1049766541,14600.80742836,NaN
17687.1433258057,17903.8627147675,18919.8756217957,NaN,19109.0763710934,19216.1800861359,19949.8555660248,20550.8618354797,NaN
23713.2194042206,23808.9020252228,24879.2278766632,NaN,25068.4286259609,25108.2351207733,25841.2554264069,26442.9576396942,NaN
29624.2799758911,29787.99700737,30806.3037395477,NaN,30995.5044888455,31146.312713623,31879.332780838,32480.9942245483,NaN
35601.3679504395,35760.0469589233,36799.3659973145,NaN,36988.5667466122,37057.373046875,37790.3933525085,38392.0547962189,NaN
41578.0873298645,41869.1082000732,42893.435716629,NaN,43082.6364659268,43135.1408958435,43866.112947464,44466.1359786987,NaN
47738.1846904755,47870.1577186584,48886.4982128143,NaN,49075.6989621121,49137.501001358,49870.5213069916,50472.2237586975,NaN
53681.5626621246,53813.248872757,54996.5834617615,NaN,55185.7842110592,55383.7783336639,56116.5935993195,56718.2550430298,NaN
59625.3092288971,59775.3045558929,60923.6183166504,NaN,61112.8190659481,61171.3032722473,61902.316570282,62502.3396015167,NaN
65585.6854915619,65728.3899784088,67001.3859272003,NaN,67190.5866764981,67402.3842811584,68133.3973407745,68733.4203720093,NaN
71546.43034935,71685.4486465454,72710.7594013214,72860.7549667358,72982.9557160336,NaN,74388.4809017181,74968.8022136688,NaN
77488.8253211975,77597.4922180176,79070.823431015,79270.8311080933,79393.031857391,NaN,NaN,NaN,79927.1740913391
83415.8601760864,83510.5595588684,84532.5934886932,NaN,84687.794237991,84756.8905353546,85489.9106025696,86091.6130542755,NaN
89326.961517334,89492.6447868347,90508.9852809906,90707.9689502716,90830.1696995693,90759.6604824066,91489.9773597717,NaN,92107.9816818237
95303.0254840851,95476.6960144043,96635.7002258301,NaN,96790.9009751278,97033.0121517181,97764.0252113342,98364.7446632385,NaN
101280.072689056,101382.759332657,102462.792634964,NaN,102617.993384262,102849.086284637,103580.099582672,104180.778026581,NaN
107191.174030304,107410.842657089,108472.157001495,108622.848987579,108745.049736877,NaN,110149.182319641,110730.200052261,NaN
113217.905521393,113411.892175674,114433.22968483,NaN,114572.430434127,114641.224622726,115374.244689941,115975.906133652,NaN
119227.966308594,119390.946149826,120643.298149109,NaN,120782.498898407,120870.298624039,121601.311683655,122201.990127563,NaN
125204.358100891,125337.027549744,126370.366334915,NaN,126542.567084213,126606.377840042,127339.35713768,127941.059589386,NaN
131148.432254791,131289.088964462,132297.4421978,132380.427122116,132502.627871414,NaN,133907.456874847,134490.113019943,NaN
137108.480930328,137246.147632599,138841.170787811,NaN,138963.371537109,139083.490133286,139816.510438919,140418.212890625,NaN
143052.555084229,143212.217330933,144235.234260559,NaN,144357.435009857,144640.246629715,145371.25992775,145971.241950989,NaN
149029.6022892,149165.302753448,150195.323944092,NaN,150317.52469339,150459.638595581,151190.651893616,151791.330337524,NaN
