fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
NaN,11318.1090354919,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13107.4466705322,13330.1463127136,14394.4509029388,NaN,14654.2421431732,14703.4530639648,15434.4661235809,16035.1855754852,NaN
18088.5102748871,18103.2149791718,19124.5527267456,19425.5266189575,19568.3178591919,NaN,20945.5523490906,21622.5800514221,NaN
22869.5664405823,22962.2588157654,24323.6055374146,NaN,24533.3967776489,24660.6242656708,25394.627571106,25995.6336021423,NaN
28736.6766929626,28831.3353061676,29840.6717777252,NaN,30100.4630179596,30248.6741542816,30981.6944599152,31583.3969116211,NaN
34587.730884552,34806.4162731171,36309.7712993622,NaN,36552.5625395966,36713.8006687164,37447.762966156,38048.4821796417,NaN
40572.8061199188,40826.512336731,41876.8496513367,42227.835893631,42370.6271338654,NaN,43746.8783855438,44423.5785007477,NaN
46590.8949375153,46677.6072978973,47895.5938816071,NaN,48121.3851218414,48292.9468154907,49023.9191055298,49624.6383190155,NaN
52441.662311554,52643.6769962311,53661.9837284088,NaN,53921.7749686432,53999.9856948853,54730.9987545013,55333.028793335,NaN
58409.0838432312,58503.7424564362,59563.090801239,NaN,59822.8820414734,60191.089630127,60924.1096973419,61525.8121490479,NaN
64260.137796402,64468.8291549683,65547.8384494781,NaN,65807.6296897125,65918.1578159332,66651.1778831482,67252.8803348541,NaN
70228.2147407532,70453.9043903351,71749.2642402649,NaN,71975.0554804993,72080.2621841431,72813.2412433624,73414.9436950684,NaN
76212.3069763184,76424.0291118622,77683.3443641663,NaN,77909.1356044006,78056.3261508942,78789.3462181091,79391.0486698151,NaN
82197.3819732666,82332.0586681366,83350.4061698914,83602.1053791046,83744.896619339,NaN,85121.4344501495,85698.438167572,NaN
88099.1446971893,88246.1500167847,89602.4994850159,89953.4857273102,90096.2769675446,89969.5010185242,90702.5213241577,91304.182767868,NaN
94000.2517700195,94142.2193050385,95236.5474700928,NaN,95462.3387103272,95534.5723628998,96265.5856609344,96866.2641048431,NaN
99899.6386528015,100112.30301857,101187.62588501,101387.633562088,101530.424802322,NaN,102906.676054001,103482.696533203,NaN
105884.713888168,106054.411172867,107072.431087494,107373.405218124,107516.196458359,NaN,108891.751289368,109469.451189041,NaN
111818.79401207,112006.472587585,113157.489538193,NaN,113367.280778427,113495.491504669,114226.504564285,114826.52759552,NaN
117770.568609238,117951.570987701,119090.873241425,NaN,119300.664481659,119490.888595581,120223.908901215,120825.611114502,NaN
123720.950603485,123873.649597168,124991.980552673,NaN,125251.771792908,125333.955526352,126064.968585968,126665.688037872,NaN
130909.062147141,131126.723527908,132147.078037262,NaN,132406.869277496,132499.743700027,133231.08458519,133831.76279068,NaN
136927.109956741,137170.822143555,138298.164129257,138649.150371552,138791.941611786,138698.834896088,139431.854963303,140031.83722496,NaN
142929.879903793,143106.909036636,144132.219791412,NaN,144358.011031647,144473.252773285,145206.232070923,145807.93428421,NaN
