fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
NaN,44438.8155937195,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46235.1574897766,46522.8605270386,47673.1810569763,NaN,NaN,48106.865644455,48839.8857116699,49439.8677349091,NaN
52287.9395484924,52319.9293613434,53407.2535037994,NaN,NaN,53999.2482662201,54732.2685718536,55333.970785141,NaN
58087.3019695282,58109.0109348297,59308.319568634,NaN,NaN,59589.3461704254,60320.3594684601,60921.0376739502,NaN
63871.3865280151,63969.0761566162,65091.4211273193,NaN,NaN,65416.3978099823,66149.4178771973,66751.1203289032,NaN
69739.4800186157,69909.1773033142,71127.1638870239,71428.1787872314,71545.6097635307,71499.1624355316,72230.1757335663,72830.198764801,NaN
76459.5823287964,76758.2626342773,77914.2768383026,78063.5759830475,78181.0069593467,NaN,79583.601474762,80260.6294155121,NaN
82510.644197464,82763.3264064789,83814.6467208862,NaN,83949.0776971855,84320.66655159,85052.0482063293,85653.6688804626,NaN
88528.7330150604,88717.3948287964,89748.726606369,89949.7582912445,90067.1892675437,NaN,91471.7500209808,92047.7705001831,NaN
94479.8114299774,94706.484079361,95783.8141918182,96084.8290920258,96202.260068325,96122.8399276733,96855.8602333069,97457.5216770172,NaN
100463.903665543,100528.579473495,101583.913803101,NaN,101768.3447794,102043.894767761,102776.914834976,103378.617286682,NaN
106298.655748367,106475.643873215,107668.972492218,107870.659589767,107988.090566067,NaN,109390.029668808,109967.03338623,NaN
112250.717163086,112469.730138779,113553.081274033,113921.065807343,114038.496783642,113933.067083359,114666.087388992,115267.789840698,NaN
118234.809160233,118446.818351746,119488.144397736,NaN,119688.575374035,119904.13403511,120637.154340744,121238.856554031,NaN
124202.23069191,124245.893955231,125472.236394882,NaN,125672.667371181,125869.220733643,126602.241039276,127203.943252563,NaN
130019.9842453,130122.957706451,131675.014019012,131975.988149643,132093.419125942,132002.325534821,132735.345602036,133337.007045746,NaN
135887.381315231,136060.068845749,137174.385547638,NaN,137358.816523937,137509.397506714,138244.0969944,138845.430612564,NaN
