fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
34941.2157535553,35089.9415016174,36256.2773227692,36406.231880188,36632.1547408663,NaN,NaN,NaN,37407.2535037994
44497.3475933075,44711.0357284546,46295.3686714172,NaN,46588.2915320955,46603.346824646,47335.0563049316,47935.0793361664,NaN
49525.3922939301,49722.0821380615,50857.4116230011,NaN,51150.3344836794,51369.4114685059,52100.4245281219,52702.1269798279,NaN
55535.453081131,55684.1378211975,56767.4889564514,NaN,57060.4118171297,57237.4639511108,57971.1804389954,58571.1624622345,NaN
61513.1964683533,61673.2273101807,62711.5223407745,NaN,63004.4452014528,63061.5253448486,63792.5386428833,64394.2408561707,NaN
67489.5882606506,67601.2861728668,68704.6256065369,NaN,68963.5484672151,68917.617559433,69648.6306190491,70250.2920627594,NaN
73416.6638851166,73607.3327064514,74815.3660297394,74881.6802501678,75107.6031108461,NaN,NaN,NaN,75557.6841831207
79426.7249107361,79594.4149494171,80708.7318897247,80776.4387130737,81002.361573752,80956.7446708679,81689.7647380829,82291.4261817932,NaN
85403.7718772888,85506.4585208893,86518.7849998474,NaN,86744.7078605257,86802.8016090393,87536.5180969238,88136.500120163,NaN
91313.8492107391,91494.5647716522,93061.8581771851,NaN,93287.7810378633,93455.5656909943,94186.9065761566,94788.5680198669,NaN
97323.9099979401,97513.5958194733,98555.9458732605,NaN,98781.8687339388,98764.6372318268,99494.9538707733,100096.656322479,NaN
103351.010322571,103490.683794022,104533.689260483,104600.003480911,104825.92634159,104805.704593658,NaN,NaN,105083.700180054
114905.785322189,115068.806171417,116187.136888504,116254.147529602,116480.07039028,NaN,NaN,NaN,116805.141448975
120882.176876068,120899.871587753,122430.219173431,122497.885227203,122723.808087882,NaN,123988.214731216,124569.232225418,NaN
126709.269523621,126996.931552887,128024.249315262,NaN,128250.17217594,128488.940477371,129219.257354736,129819.976568222,NaN
132820.009946823,133023.990631104,134051.349401474,NaN,134277.272262152,134403.31864357,135137.035131454,135737.017154694,NaN
138829.374313354,139005.051851273,140461.384534836,NaN,140687.307395514,140660.409212112,141393.716096878,141995.090961456,NaN
144824.156999588,144978.125810623,145988.445043564,NaN,146214.367904242,146206.475257874,146937.77513504,147539.1497612,NaN
150783.509492874,150967.215061188,152048.518180847,NaN,152274.441041525,152242.545604706,152976.221084595,153576.244115829,NaN
