fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
21855.6015491486,21958.2884311676,22987.6132011414,NaN,NaN,23241.6059970856,23974.6263027191,24576.3285160065,NaN
27765.6791210175,27921.3678836823,28931.3597679138,NaN,NaN,29232.7024936676,29965.681552887,30567.3840045929,NaN
33792.738199234,33963.4184837341,35308.4630966187,NaN,NaN,35531.7769050598,36264.7562026978,36866.4586544037,NaN
39769.8261737823,39938.4994506836,40951.8089294434,NaN,NaN,41283.8306427002,42017.1375274658,42618.5123920441,NaN
45762.8886699677,45913.5804176331,46944.8714256287,NaN,NaN,NaN,NaN,NaN,47269.8888778687
51722.9373455048,51873.6290931702,52922.655582428,NaN,53095.4567589092,53131.6335201263,53861.9503974915,54462.6698493958,NaN
57700.6807327271,57837.691783905,58982.0322990417,NaN,59154.833475523,59207.0255279541,59938.0388259888,60538.7170314789,NaN
63644.0584659576,63805.7687282562,64876.0943412781,NaN,65048.8955177593,65361.7570400238,66092.1149253845,66693.7763690948,NaN
69621.146440506,69621.8428611755,70653.1338691711,NaN,70825.9350456524,70874.1538524628,71607.1741580963,72208.8356018066,NaN
75431.1997890472,75593.8928127289,76696.9046592712,NaN,76869.7058357525,76991.8985366821,77722.2154140472,78322.934627533,NaN
81541.9402122498,81701.9708156586,82740.2658462524,NaN,82913.0670227337,83082.2818279266,83815.3021335602,84417.0045852661,NaN
87518.3317661285,87629.0056705475,88668.0381298065,NaN,88840.8393062878,88984.3721389771,89717.351436615,90319.0536499023,NaN
93445.4076290131,93584.0983390808,94994.1053390503,NaN,95149.9065155316,95243.7155246735,95975.7525920868,96577.127456665,NaN
99388.4580135345,99568.1493282318,100587.480068207,NaN,100743.281244688,NaN,NaN,NaN,100954.481601715
105382.544279099,105531.229019165,106930.545568466,NaN,107086.346744947,107150.254964828,107881.227254868,108481.250286102,NaN
111343.289375305,111520.277500153,112557.630300522,NaN,112713.431477003,112833.618879318,113567.294359207,114167.317390442,NaN
117352.653741837,117474.34592247,118684.673070908,NaN,118840.474247389,118916.670322418,119649.690628052,120251.392841339,NaN
123279.729604721,123415.43006897,124428.739547729,NaN,124584.540724211,124683.428764343,125413.745641708,126015.448093414,NaN
129223.803758621,129508.475780487,130621.809482574,130771.805047989,130877.60622447,NaN,132298.83480072,133100.831747055,NaN
135316.849708557,135451.566934586,136465.859413147,NaN,136588.660589628,136847.893476486,137579.889535904,138181.59198761,NaN
141260.923862457,141415.629863739,142508.934020996,NaN,142631.735197477,142734.623670578,143465.636730194,144065.659761429,NaN
147221.668720245,147324.683189392,148353.024959564,NaN,148475.826136045,148660.716533661,149391.033172607,149992.694616318,NaN
153131.049871445,153265.767335892,154313.073635101,154613.064527512,154718.865703993,NaN,156139.766693115,156720.088005066,NaN
159075.124263763,159208.817481995,160273.122310638,NaN,160445.92348712,160554.14891243,161286.144971848,NaN,161719.829320908
170629.940271378,170725.950479507,171794.26908493,171994.973182678,172100.774359159,NaN,173521.265506744,174102.283239365,NaN
176539.321184158,176683.991909027,177722.000360489,NaN,177860.80153697,177944.331169128,178677.351236343,179279.053688049,NaN
182499.369859695,182766.060590744,183849.083900452,NaN,183987.885076933,184068.096876144,184798.41375351,185399.092197418,NaN
188577.137708664,188747.121572495,189775.463342667,NaN,189914.264519148,190139.474868774,190870.487928391,191471.166372299,NaN
194553.529262543,194693.202972412,195752.223730087,NaN,195891.024906569,196282.532691956,197016.24917984,197617.255449295,NaN
200513.57793808,200637.277126312,201746.269226074,201995.592594147,202101.393770628,NaN,203521.311759949,204101.633071899,NaN
206473.626613617,206614.324092865,207705.662488937,208005.653381348,208111.454557829,NaN,209530.67612648,210112.676858902,NaN
212417.700767517,212578.3867836,213599.724531174,NaN,213772.525707655,214102.754116058,214835.733413696,215437.435865402,NaN
218394.788742065,218511.4839077,219592.78678894,NaN,219798.587965422,219906.786203384,220639.478683472,221239.501714706,NaN
224338.535308838,224467.51832962,225519.862651825,NaN,225725.663828306,225808.876514435,226541.855573654,227143.55802536,NaN
230314.927101135,230544.589757919,NaN,NaN,NaN,NaN,NaN,NaN,NaN
231762.944936752,231905.608654022,233094.923257828,NaN,233300.724434309,233319.957494736,234050.970554352,234652.631998062,NaN
237706.978321075,237864.674329758,239006.024599075,NaN,239211.825775557,239316.009998322,240049.030065536,240650.691509247,NaN
243684.762477875,243823.739767075,245132.125139236,NaN,245337.926315718,245349.376916885,246082.110404968,246683.771848679,NaN
249644.114971161,249787.802457809,250809.836387634,251126.825809479,251232.62698596,251165.123462677,251898.143768311,252499.845981598,NaN
255604.859828949,255687.885761261,256703.20224762,NaN,256876.003424101,257052.222490311,NaN,NaN,257292.20700264
261498.266458511,261631.959915161,262647.972822189,262846.260070801,262952.061247282,262871.28663063,263603.282928467,264204.985380173,NaN
267441.316843033,267550.024747849,268590.326786041,NaN,268729.127962522,268964.332580566,269695.345640182,270297.048091888,NaN
273651.385307312,273802.077054977,275133.399963379,NaN,275272.20113986,275556.393861771,276290.110349655,276890.092372894,NaN
279628.47328186,279770.153999329,280794.481515884,NaN,280933.282692366,281149.482011795,281883.157491684,282483.180522919,NaN
285572.506666183,285729.219436646,286737.531900406,NaN,286876.333076887,286953.554868698,287687.230348587,288287.253379822,NaN
291532.596111298,291638.273000717,292747.592687607,NaN,292886.393864088,NaN,NaN,NaN,293094.60568428
297442.673683167,297637.356519699,299057.685375214,NaN,299196.486551695,299435.664415359,300168.356895447,300768.379926682,NaN
303452.734470367,303605.392217636,304618.742704391,NaN,304757.543880873,304835.052490234,305568.727970123,306169.447422028,NaN
309429.78143692,309581.456422806,310596.486091614,NaN,310735.287268095,311099.802494049,311833.477973938,312433.501005173,NaN
315389.830112457,315502.552032471,316721.84920311,NaN,316927.650379591,317060.875177383,317792.871236801,318394.573688507,NaN
321367.614507675,321512.612819672,322948.916196823,NaN,323154.717373304,323285.934925079,324019.651412964,324619.633674622,NaN
327326.966762543,327598.654508591,328626.013040543,328876.688241959,328982.48941844,NaN,330401.01480484,330982.032299042,NaN
333404.038190842,333641.728878021,334686.04516983,NaN,334858.846346312,334888.059854507,335621.776342392,336221.758365631,NaN
339448.095560074,339616.809844971,340630.11932373,NaN,340802.920500212,340856.83298111,341587.149858475,342187.828063965,NaN
345441.199064255,345523.856401443,346623.878002167,NaN,346796.679178648,346852.189064026,347584.226131439,348184.904575348,NaN
351335.916519165,351500.944375992,352733.266830444,352883.262395859,352989.06357234,NaN,NaN,NaN,353007.289171219
357312.308073044,357479.015350342,358778.020858765,NaN,358900.822035246,359013.335943222,359747.011423111,360347.034454346,NaN
363472.364425659,363631.084442139,364637.389659882,NaN,364760.190836363,364871.39415741,365602.407455444,366204.109668732,NaN
369565.451145172,369719.133138657,370764.473199844,370914.468765259,371020.26994174,NaN,372440.474510193,373023.171424866,NaN
375525.499820709,375682.21282959,376708.219766617,NaN,376831.020943098,377079.522132874,377813.238620758,378413.220882416,NaN
381485.589504242,381630.260229111,382917.592048645,NaN,383040.393225126,383153.603553772,383884.616613388,384486.278057098,NaN
387446.662187576,387549.348831177,388911.678314209,NaN,389034.47949069,389157.356500626,389887.673377991,390488.351583481,NaN
393356.698513031,393451.398134232,394589.430809021,394854.72869873,394960.529875212,NaN,NaN,NaN,394983.752727509
399267.472267151,399413.453817368,400465.798139572,NaN,400621.599316053,400848.487377167,401579.787254333,402180.79328537,NaN
405376.861095428,405527.512073517,406658.868074417,406925.558805466,407031.359981947,NaN,NaN,NaN,407055.852413177
411336.909770966,411528.602600098,412585.902929306,NaN,412741.704105787,412821.914672852,413555.630922318,414155.613183975,NaN
417330.99603653,417423.647642136,418480.005979538,NaN,418635.807156019,418748.007297516,419480.003595352,420080.681800842,NaN
423241.032600403,423385.744333267,424756.061077118,NaN,424911.862253599,425011.078119278,425744.753599167,426344.776630402,NaN
429201.122283936,429346.776008606,430933.115720749,431133.123397827,431238.924574308,431175.148487091,431907.144546509,432508.846998215,NaN
435178.865671158,435329.844236374,436344.177484512,NaN,436482.978660994,436750.173091888,437483.889579773,438083.871603012,NaN
441138.217926025,441359.934329987,442737.255334854,NaN,442876.056511335,442997.269392014,443730.944871902,444330.967903137,NaN
447165.318012238,447302.001476288,448314.327955246,NaN,448453.129131727,448748.340129852,449481.31942749,450083.021640778,NaN
453326.070785522,453493.064641953,454557.410240173,454707.405805588,454813.206982069,NaN,456234.107732773,457035.08067131,NaN
459302.462339401,459332.117319107,460385.117053986,NaN,460507.918230467,460647.46594429,461378.479003906,461980.140447617,NaN
465146.512269974,465298.187255859,466394.522666931,NaN,466517.323843412,466664.530992508,467397.223472595,467997.205495834,NaN
471106.560945511,471247.258663177,472439.276456833,472687.576055527,472793.377232008,472714.56861496,473447.588682175,NaN,473824.584722519
482660.680532455,482812.396526337,484358.718395233,NaN,484514.519571714,484589.405059814,485319.72193718,485920.400381088,NaN
488621.466636658,488758.43667984,489769.780158997,489986.458539963,490092.259716444,NaN,491495.793581009,492077.794313431,NaN
494564.844369888,494700.50406456,495729.828834534,NaN,495918.630011015,495977.841615677,496708.854675293,497310.557126999,NaN
500507.89475441,500624.589681625,501807.596445084,NaN,501996.397621565,502208.922624588,502939.935684204,503540.614128113,NaN
506434.970617294,506584.638357162,507667.006492615,507883.971452713,507989.772629194,NaN,509393.019914627,509973.996400833,NaN
