fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
NaN,13511.0256671906,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15983.371257782,16286.0655784607,17840.087890625,NaN,NaN,18098.4227657318,18829.4358253479,19430.1142692566,NaN
22035.4568958282,22129.1735172272,23155.4672718048,NaN,NaN,23502.4802684784,24233.4933280945,24834.2127799988,NaN
27902.5673866272,27992.2287464142,29022.5775241852,NaN,29193.099472309,29320.2748298645,30051.2471199036,30651.2701511383,NaN
33837.6305103302,34118.3292865753,35224.6589660645,35391.6528224945,35495.1747706183,NaN,36896.9738483429,37474.3459224701,NaN
39889.3885612488,40007.3943138123,41025.741815567,NaN,41146.2637636908,41490.7195568085,42224.436044693,42824.4183063507,NaN
45772.8009223938,46050.4686832428,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47395.5132961273,47633.4908008575,48865.8134937286,49182.8439235687,49286.3658716925,NaN,50688.8611316681,51364.865064621,NaN
53396.5628147125,53466.5634632111,54531.8920612335,54899.9178409576,55003.4397890814,NaN,56403.9280414581,57079.972743988,NaN
59229.9633026123,59487.6425266266,60534.0065956116,NaN,60754.5285437354,60923.003911972,61655.9829711914,62257.6854228973,NaN
65248.7485408783,65431.7576885223,66552.054643631,NaN,66772.5765917548,66944.0829753876,67677.1030426025,68278.7644863129,NaN
71199.1305351257,71387.8333568573,72402.1666049957,72753.15284729,72856.6747954138,72823.1534957886,73557.1568012238,74158.1628322601,NaN
77150.2089500427,77310.8949661255,78521.222114563,NaN,78707.7440626868,NaN,NaN,NaN,79216.2313461304
88667.3827171326,88869.069814682,90189.3744468689,NaN,90375.8963949927,90669.3847179413,91402.4047851563,92004.1072368622,NaN
94635.4594230652,95076.1482715607,96106.4560413361,NaN,96292.9779894599,96498.4841346741,97231.463432312,97833.1656455994,NaN
100837.540864944,101101.200342178,102124.544858932,102326.231956482,102429.753904606,NaN,103846.257686615,104522.589206696,NaN
106855.629682541,107217.306613922,108242.617368698,NaN,108379.139316822,108450.612068176,109183.63237381,109785.334825516,NaN
112974.398374557,113238.385677338,114277.704715729,NaN,114414.226663853,114698.404788971,115428.721666336,116029.440879822,NaN
119008.789539337,119087.473630905,120128.799676895,120445.78909874,120549.311046863,NaN,121951.519727707,122526.802778244,NaN
124842.845201492,125055.550336838,126431.560516357,NaN,126602.082464481,126721.885204315,127454.90527153,128056.56671524,NaN
130811.618328094,131009.618759155,132030.956506729,NaN,132201.478454853,132384.646177292,133114.962816238,133715.641260147,NaN
136762.000322342,137011.692523956,138099.016666412,NaN,138269.538614536,138528.031587601,139261.09290123,139862.75434494,NaN
143014.093637466,143192.802190781,144234.783649445,NaN,144405.305597568,144665.109395981,145398.129701614,145999.831914902,NaN
148965.172052383,149206.877231598,150302.188396454,150653.215646744,150756.737594868,150770.934820175,151501.210451126,152101.888895035,NaN
154966.262817383,155178.926944733,156203.254699707,NaN,156389.776647831,156552.274942398,157283.288002014,157883.966445923,NaN
160950.354814529,161015.030622482,162037.351369858,162254.357337952,162357.879286075,NaN,163758.367776871,164435.395479202,NaN
166784.410476685,166794.11816597,167821.476697922,NaN,167957.998646046,168135.43510437,168866.448402405,169467.126607895,NaN
172552.192926407,172840.182781219,NaN,NaN,NaN,NaN,NaN,NaN,NaN
174107.198476791,174324.204444885,175377.531766891,175744.533538818,175848.055486942,175851.521015167,176584.541082382,177186.243534088,NaN
180092.273712158,180830.290794373,182215.312242508,NaN,182401.834190632,182519.645214081,183252.6242733,183854.326725006,NaN
