fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
NaN,12090.1231765747,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13596.4682102203,13704.1521072388,14833.5011005402,NaN,NaN,15327.4786472321,16060.4989528656,16662.201166153,NaN
19463.5376930237,19666.2485599518,20801.2502193451,NaN,NaN,21164.5653247833,21897.5856304169,22499.2880821228,NaN
25431.6554069519,25517.3027515411,27019.674539566,NaN,NaN,27340.6779766083,28073.6572742462,28675.3597259521,NaN
31282.7093601227,31291.3930416107,32319.4069862366,32620.4221248627,32738.5293032654,NaN,34140.4476165771,34716.7549133301,NaN
37049.795627594,37292.4835681915,38336.799621582,NaN,38521.9067999848,38714.8194313049,39445.8327293396,40046.5109348297,NaN
43050.8861541748,43620.5577850342,44655.9035778046,NaN,44841.0107562073,45057.8851699829,45791.6016578674,46392.6076889038,NaN
49385.9643936157,49466.6557312012,50489.9592399597,NaN,50675.0664183625,NaN,NaN,NaN,51185.9927177429
60820.8086490631,60945.8186626434,62058.1283569336,NaN,62243.2355353363,62593.1477546692,63325.1440525055,63926.8465042114,NaN
66705.9004306793,66874.9015331268,68410.2051258087,NaN,68595.3123042115,68751.2381076813,69484.2171669006,70085.9196186066,NaN
72639.2841339111,72866.9807910919,73893.3155536652,NaN,74128.4227320679,74294.600725174,75027.2932052612,75628.9954185486,NaN
78624.359369278,78735.0332736969,79894.3650722504,80195.3802108765,80313.4873892792,NaN,81717.4127101898,82294.4164276123,NaN
85110.4571819305,85547.1317768097,86597.4690914154,NaN,86832.5762698181,86943.4583187103,87676.4783859253,88278.1808376312,NaN
91311.5556240082,91608.2286834717,92715.5413627625,NaN,92950.6485411652,93116.2531375885,93847.2661972046,94447.2482204437,NaN
97697.6292133331,97859.2982292175,99319.3173408508,NaN,99554.4245192536,99911.6399288177,100642.653226852,101243.372440338,NaN
103615.693807602,103785.3910923,104818.729877472,NaN,105053.837055875,105287.025690079,106019.718170166,106621.420383453,NaN
109550.470113754,109647.463321686,110702.797651291,111121.490955353,111239.598133756,111215.821743011,111948.801040649,112550.503253937,NaN
115416.843175888,115497.534275055,116770.89881897,117021.901845932,117140.009024335,117117.871046066,117848.884105682,118449.603557587,NaN
123474.985837936,123741.676568985,124812.002182007,NaN,124980.10936041,125218.980789185,125949.993848801,126550.999879837,NaN
129509.04917717,129683.743715286,130730.066776276,130830.091238022,130948.198416425,NaN,132352.082967758,132929.086446762,NaN
135477.126121521,136097.833871841,NaN,NaN,NaN,NaN,NaN,NaN,NaN
137266.832351685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
139422.188520432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
141562.225580215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
143718.237161636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
145858.27422142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
148015.309810638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
