fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
30712.3005390167,30805.9759140015,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32044.3196296692,32231.0154438019,33459.3238830566,NaN,NaN,33823.3354091644,34556.3554763794,35157.0339202881,NaN
38454.3957710266,38650.0618457794,39669.3923473358,NaN,NaN,40203.3877372742,40934.4010353088,41536.1032485962,NaN
44464.4565582275,44471.1332321167,45546.4560985565,NaN,NaN,45860.1686954498,46591.4685726166,47193.1707859039,NaN
50291.5081977844,50423.1946468353,51441.2143230438,NaN,NaN,51663.5453701019,52394.5174217224,52996.2198734283,NaN
56251.5976428986,56353.2605171204,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58249.6266365051,58383.2790851593,59564.6064281464,NaN,59749.0991404978,59901.6251564026,60634.6454620361,61236.3069057465,NaN
64209.6753120422,64342.3445224762,65925.3666400909,NaN,66109.8593524424,66341.6841030121,67074.7044086456,67675.3826141357,NaN
70153.7494659424,70286.4189147949,71335.7322216034,NaN,71520.2249339548,71496.7458248138,72228.7421226501,72830.4445743561,NaN
76113.7981414795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78294.8360443115,79255.5119991302,80326.5340328217,NaN,80494.0267451731,NaN,NaN,NaN,80836.8546962738
85071.5861320496,85257.5855255127,86335.8986377716,NaN,86553.391350123,86503.9165019989,87235.9125614166,87836.6320133209,NaN
91080.9917449951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93261.9888782501,93479.6912670135,94777.0173549652,NaN,94977.5100673166,94922.0156669617,95654.0117263794,96255.7141780853,NaN
99289.0479564667,99442.7299499512,100454.073190689,NaN,100654.565903041,100661.085128784,101393.081188202,101994.783639908,NaN
105249.793052673,105342.813014984,106381.149053574,106614.825963974,106732.318676325,106661.151647568,107393.147945404,107994.850158691,NaN
111159.173965454,111312.896966934,112791.225194931,NaN,112941.717907282,113127.916574478,113859.216213226,114460.918664932,NaN
117136.262178421,117263.934373856,118568.960905075,NaN,118719.453617427,118892.258167267,119623.271465302,120223.990678787,NaN
123080.991744995,123225.00705719,124395.316123962,124495.340585709,124612.83329806,NaN,126024.049520493,126604.370832443,NaN
129040.385007858,129124.066352844,130305.393695831,130605.425596237,130722.918308589,NaN,132067.124128342,132647.445440292,NaN
134950.462341309,135111.148357391,136232.469320297,NaN,136399.962032649,136749.466657639,137482.159137726,138082.182168961,NaN
140944.507837296,141165.200233459,142209.516525269,NaN,142377.00923762,142661.550998688,143393.547296524,143995.249509811,NaN
146987.582445145,147121.275901794,148169.605970383,148536.60774231,148654.100454661,148591.616868973,149324.30934906,149924.291610718,NaN
152931.656599045,153229.353904724,154279.650211334,NaN,154464.142923686,154662.339448929,155394.663333893,155995.382785797,NaN
159041.700839996,159147.418498993,160489.718675613,160672.728061676,160790.220774027,160705.741643906,161436.75494194,162038.457155228,NaN
164951.778173447,165134.459733963,166166.815757751,NaN,166301.308470103,166568.797111511,167302.513599396,167902.495622635,NaN
170962.535381317,171047.527313232,172093.85061264,172243.846178055,172361.338890406,NaN,173720.863580704,174302.905321121,NaN
176855.901002884,176998.605728149,178120.950698853,178270.946264267,178388.438976618,NaN,179797.935009003,180599.972724915,NaN
182815.990686417,182983.680963516,183998.014450073,NaN,184132.507162425,184230.011940002,184962.990999222,185564.693450928,NaN
188793.037652969,188950.733661652,190458.061695099,NaN,190592.55440745,190671.094655991,191404.073953629,192006.103992462,NaN
194770.166635513,194949.817180634,195968.123912811,NaN,196102.616625163,196166.124582291,196898.817062378,197498.840093613,NaN
200763.884544373,200912.85610199,201945.21188736,202312.213420868,202429.706133219,NaN,203772.232532501,204354.888677597,NaN
206740.931510925,206900.921344757,207922.258853912,NaN,208106.751566264,208373.269319534,209106.945037842,209706.968069077,NaN
212717.323303223,212875.019311905,214049.342393875,NaN,214233.835106227,214288.343906403,215021.03638649,215621.018648148,NaN
218677.371740341,218823.066473007,219859.395503998,NaN,220043.888216349,220205.384731293,220937.421798706,221538.100242615,NaN
225203.446626663,225359.135627747,226370.151281357,NaN,226554.643993708,226960.466861725,227693.159341812,228293.182373047,NaN
231180.534601212,231323.198318481,232379.515886307,NaN,232564.008598658,232732.550144196,233464.546203613,234066.248655319,NaN
237124.60899353,237269.279718399,238289.593219757,NaN,238474.085932109,238540.596246719,239273.288726807,239873.311758041,NaN
243601.326942444,243748.332500458,244832.666635513,245232.68198967,245350.174702021,245265.98238945,245997.691869736,246599.394321442,NaN
249993.708372116,250151.404380798,251308.729171753,NaN,251493.221884104,251541.423082352,252273.419141769,252874.466180801,NaN
255970.796585083,256181.49471283,257536.492586136,257801.831245422,257919.323957774,NaN,259262.833595276,NaN,259403.817892075
267824.907302856,268000.625610352,269057.639360428,NaN,269208.132072779,269322.60966301,270054.933547974,270655.652761459,NaN
274018.673658371,274172.683238983,275250.013113022,NaN,275400.505825373,275452.027797699,276184.720277786,276784.702301025,NaN
279978.066921234,280159.765481949,281410.069465637,NaN,281560.562177989,282068.091869354,282800.784349442,283400.766372681,NaN
285972.808599472,286136.812448502,287237.120866776,NaN,287387.613579127,287667.815446854,288398.1320858,288998.851537704,NaN
292232.192993164,292424.868822098,293497.897863388,NaN,293648.390575739,293798.216581345,294531.236886978,295132.898330688,NaN
298242.949962616,298412.934064865,299424.277544022,NaN,299574.770256373,299659.265041351,300392.981529236,300992.963552475,NaN
304219.997167587,304260.015010834,305284.342765808,NaN,305434.83547816,305664.328575134,306397.021055222,306997.044086456,NaN
310062.408685684,310268.068790436,311544.423341751,NaN,311694.916054103,311811.400651932,312543.724536896,313145.099163055,NaN
316089.467763901,316220.130205154,317271.450519562,NaN,317421.943231913,317525.156736374,318256.497621536,318858.159065247,NaN
322033.542156219,322171.208620071,323481.559991837,NaN,323632.052704188,324034.23333168,324765.246391296,325365.228414536,NaN
328259.584903717,328421.294927597,329791.611909866,NaN,329942.104622218,NaN,NaN,NaN,330170.614719391
334236.672878265,334300.365686417,335418.655633926,NaN,335569.148346278,335835.669517517,336567.993164063,337169.368028641,NaN
340113.736629486,340342.416286469,341362.730026245,NaN,341563.222738597,341568.75872612,342300.754785538,342901.433229446,NaN
346173.809528351,346254.459857941,347306.476354599,NaN,347506.96906695,347559.48638916,348290.827274323,348891.505479813,NaN
352067.871570587,352263.53764534,353399.890899658,353765.868425369,353883.361137721,NaN,355224.904537201,355806.905269623,NaN
358077.932357788,358228.624343872,359292.969942093,NaN,359477.462654444,359504.937887192,360236.934185028,360838.636398315,NaN
364038.677453995,364194.694042206,365553.00951004,NaN,365737.502222392,365779.026985168,366512.702465057,367112.725496292,NaN
369998.070716858,370144.748449326,371730.06439209,NaN,371914.557104441,372240.098237991,372972.094297409,373573.796749115,NaN
376258.110284805,376442.799091339,377640.83814621,NaN,377825.330858561,377927.148580551,378659.144639969,379260.847091675,NaN
382252.196788788,382372.864961624,383434.220552444,NaN,383618.713264796,383698.207616806,384430.203914642,385032.233953476,NaN
388195.246934891,388342.948675156,389427.938222885,NaN,389662.430935237,389671.281576157,390402.294635773,391002.973079681,NaN
394406.011819839,394558.014392853,395587.339162827,NaN,395821.831875178,395875.042200089,396606.342077255,397207.06152916,NaN
400366.060495377,400527.074337006,402080.4002285,NaN,402314.892940852,NaN,NaN,NaN,402462.393283844
406342.452049255,406397.133827209,407441.4498806,407541.474342346,407658.967054698,NaN,409066.49684906,409868.493795395,NaN
412220.212221146,412342.190980911,413351.527452469,NaN,413469.02016482,413623.542785645,414355.538845062,414957.241296768,NaN
418163.590192795,418320.261955261,419628.606319427,419929.293870926,420046.786583277,NaN,421404.304265976,421984.625577927,NaN
424123.638629913,424271.340370178,425305.66239357,NaN,425473.155105921,425509.356498718,426240.697383881,426841.375589371,NaN
430083.728313446,430246.421337128,431266.407251358,NaN,431433.899963709,431767.430067062,432499.42612648,433099.449157715,NaN
436060.775279999,436270.490646362,437475.820541382,NaN,437643.313253733,437707.490205765,438438.831090927,439040.820121765,NaN
442271.540164948,442429.52299118,443602.863073349,NaN,443770.3557857,444052.562952042,444783.862829208,445384.62305069,NaN
448230.933427811,448446.58780098,449878.918170929,NaN,450046.41088328,450276.639699936,451006.956577301,451607.634782791,NaN
454257.992744446,454527.673244476,455573.013544083,NaN,455757.506256434,455780.025243759,456510.997533798,NaN,456896.021366119
465945.80578804,466107.802629471,467427.124261856,NaN,467611.616974208,NaN,NaN,NaN,467828.818798065
471922.197341919,472081.859588623,473254.175662994,473421.865940094,473539.358652445,NaN,474930.217981339,475512.218475342,NaN
478232.249259949,478477.927446365,479714.263916016,479963.259935379,480080.75264773,480005.284786224,480738.264083862,481339.96629715,NaN
484292.322158813,484460.995435715,485491.99962616,NaN,485642.492338511,485725.021123886,486456.648588181,487058.023452759,NaN
