fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
21689.2631053925,21820.9493160248,22838.2730484009,NaN,23008.6832530792,23087.9650115967,23819.2648887634,24420.9673404694,NaN
27533.313035965,27632.0266723633,28765.3489112854,NaN,28935.7591159637,29021.3487148285,29752.3620128632,30353.0402183533,NaN
33443.3903694153,33584.0880870819,34725.3973484039,NaN,34895.8075530823,35064.4233226776,35796.4196205139,36398.1218338013,NaN
39403.4390449524,39544.1365242004,41068.4630870819,NaN,41221.8732917602,41325.4871368408,42058.1796169281,42658.1616401672,NaN
45380.5270195007,45469.2053794861,46479.5248508453,NaN,46632.9350555237,46673.552274704,47406.2447547913,48006.2267780304,NaN
51540.5833721161,51767.2970294952,52789.6175384521,NaN,52943.0277431305,53191.5991306305,53923.5951900482,54524.3146419525,NaN
57584.6409797668,57685.3206157684,58866.6889667511,NaN,59003.0991714294,59098.358631134,59829.3719291687,60429.3539524078,NaN
63494.7183132172,63628.4117698669,64892.7240371704,NaN,65029.1342418487,65180.7548999786,65913.733959198,66515.4364109039,NaN
69455.4634094238,69789.4921302795,70819.7999000549,70903.8090705872,71007.2192752655,71091.4876461029,NaN,NaN,71383.819103241
81191.8959617615,81292.6166057587,82307.9330921173,NaN,82411.3432967956,82497.9054927826,83230.6389808655,83830.6210041046,NaN
87102.956533432,87258.6455345154,88267.9817676544,NaN,88371.3919723328,88605.9837341309,89337.9797935486,89939.6822452545,NaN
93063.0459785461,93194.732427597,94744.0445423126,NaN,94847.454746991,95042.0694351196,95775.0895023346,96376.7509460449,NaN
99006.0963630676,99103.7859916687,100155.106306076,NaN,100258.516510754,100458.128213882,101191.148519516,101792.809963226,NaN
104917.15669632,105011.85631752,106082.182168961,106165.167093277,106268.577297955,106325.197696686,107056.210756302,107656.889200211,NaN
110827.234268188,110979.933023453,112026.256322861,NaN,112129.666527539,112373.269319534,113105.961799622,113705.944061279,NaN
116787.282943726,116896.973848343,118252.299308777,118353.019952774,118456.430157452,NaN,119863.337993622,120445.338487625,NaN
122747.37238884,122896.057367325,124079.391717911,NaN,124182.801922589,124327.404499054,125060.096979141,125660.07900238,NaN
128724.419593811,128857.129812241,129907.139539719,130089.452505112,130192.86270979,NaN,131565.446138382,132146.463632584,NaN
134668.493747711,134814.188480377,135917.20032692,NaN,136053.610531598,136120.525836945,136851.538896561,137452.217340469,NaN
140845.26181221,140980.265855789,142110.557079315,142193.583011627,142296.993216306,NaN,143721.268177032,144301.589488983,NaN
146788.639783859,146901.320695877,147953.665018082,NaN,148057.07522276,148177.634239197,148910.326719284,149510.349750519,NaN
152715.674638748,152861.369371414,153881.396055222,NaN,153984.8062599,154091.725826263,154823.721885681,155425.424337387,NaN
158675.764083862,158786.437988281,159825.47044754,NaN,159928.880652219,160094.782352448,160825.795412064,161426.473855972,NaN
164835.820436478,164975.494146347,166035.538911819,NaN,166138.949116498,166350.521326065,167082.517385483,167682.868242264,NaN
170796.565532684,170918.585300446,172127.929210663,NaN,172231.339415341,172468.593597412,173199.606657028,173799.588680267,NaN
176722.944974899,176876.626968384,177922.663450241,178205.000638962,178308.41084364,178227.979183197,178960.958480835,179562.660694122,NaN
182683.034658432,182812.713861465,183832.044363022,183982.736349106,184086.146553784,NaN,185508.04567337,186089.063405991,NaN
188627.764225006,188733.768701553,190042.11306572,NaN,190162.523270398,190426.112890244,191158.10918808,191758.787631989,NaN
194554.143667221,194652.816295624,196169.851779938,NaN,196306.261984616,196367.156267166,197100.176334381,197701.878786087,NaN
200464.221000671,200608.89172554,201629.901647568,NaN,201766.311852246,201852.232694626,202584.228754044,203185.93120575,NaN
206424.269676208,206521.95930481,207606.989860535,NaN,207743.400065213,207990.989685059,208721.306562424,209323.00901413,NaN
212351.345539093,212498.023271561,213533.36930275,213633.352518082,213736.76272276,NaN,215127.368688583,215708.386182785,NaN
218312.0906353,218461.102962494,219693.425655365,NaN,219846.835860043,219928.413152695,220660.450220108,221262.111663818,NaN
224288.482189178,224447.161197662,225703.486442566,NaN,225856.896647244,226005.197763443,226737.193822861,227337.176084518,NaN
230249.227285385,230397.215604782,231447.552919388,NaN,231600.963124066,231659.561872482,232392.25435257,232992.236375809,NaN
236210.299730301,236363.285541534,237507.625818253,237607.609272003,237711.019476682,NaN,239119.647741318,239701.648235321,NaN
242169.652223587,242308.342695236,243334.677457809,NaN,243438.087662488,243638.35477829,244369.695663452,244971.398115158,NaN
248113.439559937,248371.40583992,249494.733810425,NaN,249598.144015103,249769.739151001,250501.776218414,251103.437662125,NaN
254189.814805984,254299.505710602,255755.510807037,NaN,255858.921011716,255963.833332062,256695.829391479,257297.531843185,NaN
260116.849660873,260259.55414772,261266.555786133,261465.86728096,261569.277485638,261482.865571976,262215.18945694,262816.564083099,NaN
266077.635526657,266179.625988007,267425.956726074,267508.941650391,267612.351855069,NaN,269036.667823792,269616.948127747,NaN
272236.995458603,272377.69317627,273869.005680084,274019.001245499,274122.411450177,NaN,275545.047998428,276127.744913101,NaN
278197.04413414,278302.762031555,279629.784107208,NaN,279750.194311887,279820.084095001,280552.080392838,281153.782606125,NaN
284108.145475388,284218.819618225,285273.129940033,NaN,285393.540144711,285497.140169144,286230.160236359,286830.838680267,NaN
290051.195859909,290137.867212296,291233.874797821,NaN,291354.285002499,291450.51240921,292183.204889297,292783.924102783,NaN
296910.27545929,297047.94216156,298059.285402298,298276.29160881,298379.701813489,298285.302639008,299017.298936844,299617.977380753,NaN
302855.005025864,302955.02948761,304169.32964325,NaN,304305.739847928,304432.333707809,305164.370775223,305766.032218933,NaN
308765.082597733,308948.091745377,310446.408748627,NaN,310582.818953305,310682.420253754,311414.416313171,312015.135765076,NaN
314759.128093719,314915.144681931,315990.46754837,316073.493480682,316176.903685361,NaN,NaN,NaN,316875.490188599
320718.521356583,320744.203090668,321767.54784584,NaN,321870.958050519,321970.545530319,322703.238010406,323303.261041641,NaN
326545.572757721,326657.270669937,327694.582700729,NaN,327797.992905408,328049.623966217,328781.620264053,329383.322477341,NaN
332472.648620605,332580.332517624,333604.660272598,NaN,333708.070477277,333959.66053009,334692.353010178,335292.376041412,NaN
338549.720048904,338698.404788971,339781.714916229,339881.739139557,339985.149344235,340054.426670074,340785.767316818,NaN,341392.753601074
344509.768724442,344641.454935074,345725.502490997,345807.790994644,345911.201199323,NaN,NaN,NaN,346871.809005737
350452.85987854,350461.543321609,351501.886367798,NaN,351605.296572476,351720.530986786,352451.87163353,353052.550077438,NaN
356279.911279678,356444.611549377,357461.935043335,NaN,357565.345248013,357778.596878052,358509.937524796,359111.639976501,NaN
362523.976564407,362668.688297272,364255.683422089,NaN,364359.093626767,364473.017215729,365204.685688019,365804.708719254,NaN
368484.06624794,368658.719778061,369699.062824249,369849.058151245,369952.468355923,369900.053501129,370632.090568542,371232.769012451,NaN
374461.113214493,374575.801372528,375959.143400192,NaN,376079.553604871,376194.130897522,376927.150964737,377528.812408447,NaN
380404.163599014,380516.885519028,381536.175012589,381620.880365372,381724.29057005,NaN,383146.189689636,383947.203397751,NaN
386331.239461899,386426.921844482,387463.250875473,387746.939897537,387850.350102216,NaN,389238.293409348,389820.949316025,NaN
392242.013216019,392378.000259399,393490.310192108,NaN,393643.720396787,393774.3268013,394507.346868515,395108.025312424,NaN
398218.363761902,398590.075731277,399600.395202637,NaN,399770.805407315,399825.388431549,400558.408737183,401159.086942673,NaN
404396.114826202,405115.126609802,406126.470088959,NaN,406296.880293637,406410.445690155,407142.155170441,407743.161201477,NaN
410921.493530273,411065.181016922,412103.517055511,412353.536844254,412456.947048932,412364.514350891,413096.551418304,413698.212862015,NaN
416881.582975388,416981.279611588,418547.262430191,NaN,418700.672634869,418861.302614212,419591.619491577,420192.297935486,NaN
422808.658838272,422963.323831558,423974.667310715,424141.333341599,424244.743546277,NaN,425650.668382645,426452.665328979,NaN
428785.705804825,428826.379299164,429918.413639069,NaN,430088.823843747,430160.733222961,NaN,NaN,430511.719465256
434646.467447281,434756.445169449,435861.791610718,436011.787176132,436115.197380811,NaN,437538.489341736,438118.810653687,NaN
440622.818231583,440832.533359528,442204.857349396,NaN,442325.267554074,442434.847593307,443166.843891144,443768.54634285,NaN
446649.918317795,446816.584587097,447881.91318512,NaN,448002.323389798,448144.917488098,448876.913547516,449478.615999222,NaN
452627.661705017,452739.646434784,454008.996725082,NaN,454129.406929761,454253.978490829,454986.998796463,455588.70100975,NaN
458554.041385651,458704.733133316,459836.048364639,NaN,459956.458569318,460192.031621933,460924.72410202,461524.747133255,NaN
464514.089822769,464713.76991272,465763.124227524,NaN,465883.534432202,466030.101537704,466761.810779572,467361.833810806,NaN
470524.15060997,470693.847894669,NaN,NaN,NaN,NaN,NaN,NaN,NaN
472905.196428299,473038.889884949,474137.191295624,NaN,474257.601500302,474456.187725067,475189.208030701,475790.910482407,NaN
478848.942995071,478983.947277069,480014.255046844,NaN,480134.665251523,480252.27355957,480984.269857407,481585.972070694,NaN
484792.320966721,484929.987430573,486041.314125061,NaN,486161.724329739,486312.346458435,487044.342756271,487646.045207977,NaN
491368.407964706,491496.08039856,492550.390720367,NaN,492703.800925046,492775.097370148,493505.414009094,494107.1164608,NaN
497312.44134903,497511.13820076,498828.166007996,NaN,498981.576212674,499074.458599091,499808.175086975,500408.484697342,NaN
503322.543144226,503438.214063644,504471.512079239,NaN,504624.922283917,504837.202787399,505569.240093231,506170.246124268,NaN
509565.584421158,509708.288908005,511198.29082489,NaN,511351.701029569,511425.618886948,512156.631946564,512757.310390472,NaN
515509.658575058,515605.34119606,516807.680845261,NaN,516961.091049939,517032.674312592,NaN,NaN,517510.677337646
521419.735908508,521543.394327164,522601.718664169,NaN,522772.128868848,522826.752901077,523559.732198715,524161.434650421,NaN
527379.784584045,527527.48632431,528795.485019684,529061.806917191,529165.217121869,NaN,530571.797370911,531152.815103531,NaN
533339.833259583,533503.550291061,534672.548770905,NaN,534825.958975583,534886.851549149,535619.544029236,536219.567060471,NaN
539316.921234131,539413.586854935,540432.917356491,NaN,540619.327561169,540800.943136215,541532.939195633,542133.617639542,NaN
545227.653980255,545351.680994034,546425.979852676,NaN,546612.390057355,546755.994558334,547487.00761795,548087.686061859,NaN
551154.033660889,551321.723937988,552370.054006577,NaN,552556.464211255,552603.362321854,553335.76798439,553935.750007629,NaN
557131.121635437,557263.79108429,558480.139255524,NaN,558666.549460202,558694.114208221,NaN,NaN,558977.106809616
563075.851202011,563157.853126526,564190.1679039,NaN,564376.578108578,564410.205125809,565142.201185226,565743.903636932,NaN
568968.233823776,569068.913698196,570567.271471024,NaN,570770.681675702,570804.265975952,571536.26203537,572137.964487076,NaN
574879.294395447,575017.984867096,576294.298648834,NaN,576497.708853513,576608.338832855,577340.007305145,577940.03033638,NaN
580822.385549545,580996.056079865,582354.371547699,NaN,582557.781752377,582566.052675247,583297.39356041,583898.072004318,NaN
586799.432516098,586899.129390717,588247.450590134,NaN,588450.860794812,588559.44275856,589292.463064194,589894.1655159,NaN
592709.510087967,592815.186977386,594375.18954277,NaN,594528.599747449,594605.507612228,595338.527679443,595940.230131149,NaN
598636.544942856,598784.246683121,599886.275529861,NaN,600039.68573454,600269.579172134,601001.575469971,601603.277683258,NaN
604596.634626389,604725.33082962,605812.654972076,NaN,605966.065176755,606263.624668121,606996.358156204,607596.340179443,NaN
610540.708780289,610648.392677307,612239.401817322,NaN,612392.812022,612464.395284653,613195.408344269,613795.431375504,NaN
616450.745344162,616576.451539993,617582.756757736,NaN,617736.166962415,617800.4591465,618530.776023865,619131.782054901,NaN
622378.517389297,622548.501491547,623559.844732285,NaN,623713.254936963,623911.854982376,624644.834280014,625246.53673172,NaN
628354.868173599,628466.566085815,629569.905519485,629654.569864273,629757.980068951,NaN,631180.94420433,631981.917142868,NaN
634697.974681854,634832.651138306,635879.957437515,NaN,635983.367642194,636241.961956024,636974.654436111,637574.677467346,NaN
640642.008066177,640785.695791245,641890.714645386,NaN,641994.124850064,642099.03717041,642832.057237625,643433.718681335,NaN
647068.099498749,647226.778507233,648250.123262405,648400.11882782,648503.529032498,NaN,649926.124572754,650508.821487427,NaN
653045.146465302,653198.828458786,654227.866649628,NaN,654348.276854306,654542.849063873,655274.886131287,655875.195741653,NaN
659005.891561508,659186.893701553,660354.253768921,660587.930440903,660691.340645581,660642.243623734,661374.239683151,661975.942134857,NaN
665015.952348709,665782.969236374,666913.301467896,666996.327400208,667099.737604886,NaN,668508.324861526,669309.338569641,NaN
671592.039346695,671737.037658691,672907.387733459,NaN,673043.797938138,673137.37821579,673869.374275208,674471.076726913,NaN
677552.41560936,677664.113521576,679000.433683395,679151.125431061,679254.535635739,NaN,680677.458763123,681258.476495743,NaN
683496.162176132,683633.173465729,685060.50658226,685261.210441589,685364.620646268,685271.204710007,686002.504587173,686604.207038879,NaN
689688.535928726,689839.22791481,690938.266515732,691087.565660477,691190.975865155,691352.576971054,NaN,NaN,691630.572557449
701259.695053101,701356.360673904,702391.706466675,NaN,702512.116671353,702673.716068268,703406.695365906,704007.41481781,NaN
707186.770915985,707397.428035736,708418.76578331,NaN,708539.175987988,708707.451820374,709438.46487999,710038.447141647,NaN
713196.831703186,713367.511987686,714429.52299118,NaN,714549.933195859,714680.812358856,715412.849664688,716014.511108398,NaN
719173.878669739,719309.579133987,720356.557846069,NaN,720476.968050748,720621.896743774,721355.899810791,721956.5782547,NaN
725117.953062057,725238.620996475,726315.951108932,NaN,726436.361313611,726546.965360641,NaN,NaN,726837.98623085
731061.00320816,731151.688575745,732193.014621735,NaN,732313.424826413,732498.002767563,NaN,NaN,732783.698797226
736955.065250397,737021.748065948,738070.774793625,NaN,738191.184998303,738405.090332031,739138.110399246,739739.771842957,NaN
742832.129001617,742985.810756683,744547.165155411,NaN,744667.575360089,744879.145860672,745613.149166107,746213.868379593,NaN
748809.216976166,748943.893432617,750091.223955154,NaN,750277.634159833,750322.197437286,751055.217504501,751656.919956207,NaN
754752.963542938,754847.949743271,755984.261989594,NaN,756170.672194272,756252.263307571,756984.300374985,757584.978818893,NaN
760679.342985153,760747.009038925,761778.340816498,762062.029838562,762165.44004324,NaN,NaN,NaN,762194.043874741
766840.095758438,766973.092794418,767988.409280777,NaN,768141.819485455,768332.104682922,769062.421321869,769663.099765778,NaN
772783.473491669,772908.155918121,773931.500434875,NaN,774084.910639554,774185.493469238,774918.472528458,775519.191980362,NaN
778727.220058441,778831.21752739,780008.530855179,NaN,780161.941059857,780232.54108429,780964.537382126,781566.239595413,NaN
784653.599739075,784793.273210526,786135.614395142,786351.596355438,786455.006560117,786379.613161087,787111.609220505,787713.311672211,NaN
790614.344596863,791208.346605301,792378.696680069,792461.681604385,792565.091809064,NaN,793990.390777588,794570.712089539,NaN
797023.724555969,797170.402288437,798188.749790192,NaN,798342.15999487,798451.753854752,799184.73315239,799786.435604095,NaN
802983.814001083,803132.498979568,804416.512966156,804498.801708221,804602.2119129,804800.799608231,NaN,NaN,805042.832374573
814537.933826447,814717.625379562,816036.946773529,NaN,816140.356978207,816303.92408371,817036.944389343,817637.622594833,NaN
820532.675504684,820646.66724205,821680.989027023,NaN,821784.399231702,821984.011173248,822716.007471085,823316.685676575,NaN
826459.054946899,826564.731836319,827924.76773262,828024.054765701,828127.46497038,NaN,NaN,NaN,828631.081819534
832369.132518768,832528.794527054,833634.141206741,833718.150138855,833821.560343533,NaN,835245.138883591,835827.835798264,NaN
838346.179485321,838450.873374939,839461.889028549,NaN,839565.299233228,839692.207098007,840424.203157425,841024.881601334,NaN
844256.25705719,844402.934789658,845771.285533905,NaN,845874.695738583,846020.28131485,846752.973794937,847353.979825974,NaN
850216.305494308,850374.984741211,851382.313966751,NaN,851485.724171429,851612.345218658,852344.341516495,852945.019721985,NaN
856193.393707275,856287.06908226,857309.389829636,NaN,857412.800034314,857565.389871597,858298.409938812,858899.088382721,NaN
862104.1264534,862288.118600845,863385.478019714,863535.473585129,863638.883789807,NaN,865062.175750732,865863.148450851,NaN
868097.516536713,868254.188537598,869580.227613449,NaN,869700.637818127,870033.204078674,870764.217376709,871364.240407944,NaN
874390.569925308,874526.270389557,875823.268890381,NaN,875943.679095059,876168.602466583,876901.581764221,877503.611803055,NaN
880334.644079208,880467.313528061,882015.642642975,NaN,882136.052847653,882235.679626465,882968.372106552,883568.354129791,NaN
886278.390645981,886432.400226593,887509.73033905,NaN,887630.140543729,887848.428487778,888579.400539398,889179.423570633,NaN
892237.783908844,892429.476737976,893669.786453247,NaN,893840.196657925,893953.803300858,894684.775352478,895285.494804382,NaN
898232.5258255,898368.512868881,899380.839347839,NaN,899551.249552518,899619.840860367,900352.533340454,900952.556371689,NaN
904191.878080368,904289.567708969,905323.930501938,NaN,905494.340706616,905647.924184799,906379.920244217,906981.622695923,NaN
910101.955413818,910237.655878067,911433.974742889,911701.689243317,911805.099447995,911779.677152634,912510.9770298,913111.696243286,NaN
916046.725988388,916186.727285385,917644.043207169,NaN,917797.453411847,NaN,NaN,NaN,917994.046449661
922006.774663925,922160.784244537,923205.100536346,923305.124759674,923408.534964352,NaN,924816.139221191,925397.115945816,NaN
927966.167926788,928118.866920471,929132.872581482,NaN,929236.28278616,929450.189828873,930182.18588829,930783.888339996,NaN
933943.21513176,934083.912611008,935109.223365784,935342.24486351,935445.655068188,935355.229139328,936087.266206741,936688.927650452,NaN
939903.304576874,940080.989122391,941502.997398376,NaN,941639.407603055,941741.999149323,942473.012208939,943072.994232178,NaN
945897.350072861,945994.05670166,947030.057907104,947112.387418747,947215.797623425,NaN,948638.393163681,949440.390110016,NaN
951808.123826981,951850.107908249,952939.439058304,NaN,953042.849262982,953183.437824249,953915.433883667,954517.136335373,NaN
957684.491157532,957807.166337967,959050.179481506,959232.492446899,959335.902651578,NaN,960725.197792053,961305.519104004,NaN
963611.567020416,963768.239021301,964860.560417175,NaN,964980.970621854,965108.573198318,965840.569257736,966441.575288773,NaN
