fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
NaN,38903.6450386047,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43653.7353992462,43933.7379932404,44957.0415019989,NaN,45143.9746555558,45395.0679302216,46128.0469894409,46729.7494411469,NaN
50306.1308860779,50489.7954463959,51543.1227684021,NaN,51730.055921959,51867.157459259,52600.1365184784,53201.8389701843,NaN
56257.2093009949,56511.8985176086,57528.2390117645,57879.2252540588,57999.1584076157,57932.9237937927,58663.2406711578,59263.9191150665,NaN
62275.2981185913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64431.3097000122,64627.016544342,65636.0251903534,NaN,65822.9583439103,66008.3515644073,66741.3308620453,67343.0333137512,NaN
70399.3866443634,70532.096862793,71787.3980998993,72088.4130001068,72208.3461536637,NaN,73609.1351509094,74185.4422092438,NaN
76300.4937171936,76538.1846427917,77604.4962406158,NaN,77791.4293941727,77982.5160503387,78715.4953479767,79317.1977996826,NaN
82301.5432357788,82468.2505130768,83672.5564002991,NaN,83892.489553856,84049.5932102203,84782.5725078583,85384.2749595642,NaN
88236.6473674774,88401.3066291809,89439.6426677704,89690.6454563141,89810.578609871,NaN,91212.6779556274,91789.6816730499,NaN
95357.7482700348,95553.414106369,96962.7656936646,NaN,97182.6988472214,97332.7574729919,98066.7605400085,98667.7668094635,NaN
101308.826446533,101645.51782608,103013.827562332,NaN,103233.760715889,103220.839262009,103953.859567642,104555.562019348,NaN
107409.900426865,107505.583047867,108529.910802841,108781.610012054,108901.543165611,NaN,110300.939083099,110877.942800522,NaN
113277.993917465,113449.657201767,114564.998149872,NaN,114767.931303429,114767.995834351,115501.999139786,116103.005170822,NaN
119212.073802948,119685.735464096,120850.064277649,NaN,121052.997431206,121326.101541519,122057.114601135,122657.793045044,NaN
125447.12805748,125693.830013275,126852.178812027,127052.186489105,127172.119642662,127122.187137604,127853.159427643,128454.86164093,NaN
131449.242591858,131678.905248642,132786.258935928,NaN,132939.192089485,133339.2598629,134071.255922318,134672.958374023,NaN
137450.292110443,137875.006437302,139088.32359314,139240.039348602,139359.972502159,NaN,140758.344650269,141336.044549942,NaN
144187.392950058,144422.093868256,145441.096544266,NaN,145578.029697823,145924.097061157,146655.110120773,147255.133152008,NaN
150188.483476639,150278.185844421,151476.183891296,NaN,151613.117044853,151854.49051857,152587.510824203,153189.213037491,NaN
156039.578437805,156229.264259338,157477.274656296,NaN,157664.207809853,157737.575292587,158468.588590622,159069.307804108,NaN
161991.312265396,162144.338846207,163193.652153015,163344.671726227,163464.604879784,NaN,164866.376638412,165542.380571365,NaN
167908.393859863,168076.411724091,169512.756109238,NaN,169649.689262795,169883.444070816,170613.760948181,171214.43939209,NaN
174159.790992737,174646.518707275,175664.825201035,NaN,175801.758354591,175903.826951981,176636.847019196,177238.549470901,NaN
180411.88454628,180521.575450897,181799.896001816,NaN,181936.829155373,182202.901363373,182936.945676804,183538.607120514,NaN
186279.977798462,186467.656612396,187499.971628189,NaN,187636.904781746,187734.999895096,188466.996192932,189068.698644638,NaN
192231.056213379,192383.755207062,193836.770296097,NaN,193973.703449654,194086.38048172,194819.072961807,195420.775413513,NaN
198148.178815842,198212.813854218,199385.826349258,NaN,199522.759502815,199694.17309761,200427.193164825,201028.854608536,NaN
203982.234477997,204316.918611526,205403.915166855,205704.930305481,205824.863459038,NaN,207223.276376724,207800.935268402,NaN
210936.300516129,211226.010560989,212392.018795013,212742.349863052,212862.283016609,212751.319885254,213482.374191284,214083.052396774,NaN
216988.386154175,217208.095788956,NaN,NaN,NaN,NaN,NaN,NaN,NaN
218375.414609909,218587.095975876,219963.433980942,NaN,220116.367134499,220434.432983398,221168.436050415,221769.44231987,NaN
224360.489845276,224564.183950424,226015.519618988,226165.515184402,226285.448337959,NaN,227686.237096786,228362.568616867,NaN
230328.566789627,230519.276380539,231531.602859497,NaN,231668.536013054,232051.58996582,232784.610271454,233386.31272316,NaN
236279.645204544,236518.359899521,237699.687242508,NaN,237836.620396065,238151.353359222,NaN,NaN,238599.701404572
242280.735731125,242565.448522568,NaN,NaN,NaN,NaN,NaN,NaN,NaN
244252.754926682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
246393.488407135,246577.480554581,247596.811294556,NaN,247733.744448113,248033.485651016,248764.826536179,249365.504980087,NaN
252343.870401382,252759.573459625,NaN,NaN,NaN,NaN,NaN,NaN,NaN
254115.881919861,254250.599384308,255285.904407501,NaN,255422.837561058,255734.907865524,256468.624353409,257068.606376648,NaN
260049.961805344,260294.656991959,261622.703075409,261772.002220154,261891.935373711,261938.709497452,262671.688556671,263271.711587906,NaN
266403.062820435,266584.761381149,NaN,NaN,NaN,NaN,NaN,NaN,NaN
269194.118022919,269338.788747787,270766.818284988,270866.80150032,270986.734653877,NaN,272385.147809982,272962.847709656,NaN
275095.184326172,275285.894155502,276332.872629166,NaN,276452.805782723,276663.214921951,277394.228219986,277994.906663895,NaN
281046.262741089,281262.941122055,282501.284837723,282751.304626465,282871.237780022,282819.298267365,283552.318334579,284153.97977829,NaN
287032.034158707,287116.04309082,288151.348114014,NaN,288321.281267571,288555.377483368,289288.397789001,289890.059232712,NaN
294085.428237915,294595.134496689,296024.474620819,NaN,296194.407774376,296363.459587097,297096.479654312,297698.182106018,NaN
300355.216264725,300586.230754852,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301759.243249893,301766.247272491,303095.563173294,NaN,303265.496326851,303462.564706802,304193.578004837,304794.297218323,NaN
307525.632858276,307710.32166481,308762.665987015,NaN,308932.599140572,309201.634168625,309932.975053787,310534.677505493,NaN
313476.711273193,313713.41919899,314814.710617065,NaN,314967.643770622,NaN,NaN,NaN,314876.724243164
325077.85320282,325234.565973282,326298.870801926,326498.878479004,326618.811632561,NaN,328019.927978516,328597.586870193,NaN
330995.958805084,331909.653425217,333068.98522377,NaN,333221.918377327,333451.674461365,334182.687759399,334782.669782639,NaN
337666.049003601,337886.741399765,338970.747947693,NaN,339123.68110125,339397.059440613,340130.079746246,340731.781959534,NaN
