fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
27239.2611503601,27341.9888019562,28920.3004837036,NaN,29135.1140759921,29165.3232574463,29897.319316864,30499.0217685699,NaN
33049.3552684784,33212.04829216,34264.351606369,NaN,34479.1651986575,34522.3586559296,35254.3549537659,35856.0571670532,NaN
39059.4160556793,39222.109079361,40424.44896698,NaN,40639.2625592685,40659.4364643097,41392.128944397,41992.1519756317,NaN
45036.4630222321,45126.1653900146,46168.5154438019,NaN,46383.3290360904,46382.4906349182,47113.5036945343,47715.2061462402,NaN
50930.5250644684,51038.2499694824,52045.5791950226,52262.5443935394,52410.3579858279,52279.256105423,53010.5557441711,53612.2581958771,NaN
56873.6162185669,57010.2999210358,58222.6338386536,NaN,58403.4474309421,58449.6343135834,59182.6133728027,59783.332824707,NaN
62817.6906108856,62946.3458061218,64132.6704025269,64333.3745002747,64481.1880925632,64358.6876392365,65091.3801193237,65691.4031505585,NaN
68760.7407569885,68873.4216690063,70375.7526874542,NaN,70540.5662797427,70576.0879516602,71307.7564239502,71908.4758758545,NaN
74688.472032547,74832.4873447418,75869.7993755341,75986.8221282959,76134.6357205844,NaN,77465.518951416,78266.5328979492,NaN
80647.8652954102,80791.5530204773,81813.8735294342,NaN,82011.6871217227,82071.8805789948,82803.8768768311,83405.5790901184,NaN
86625.6086826324,86751.6016960144,87906.9602489471,NaN,88104.7738412357,88269.62018013,88999.9778270721,89601.6392707825,NaN
92835.0217342377,92990.6697273254,94134.0272426605,NaN,94331.840834949,94356.0304641724,95088.0265235901,95689.728975296,NaN
98795.0704097748,98943.7551498413,100560.077667236,NaN,100757.891259525,100827.095985413,101559.419870377,102160.794496536,NaN
104772.813796997,104832.820177078,105871.156215668,NaN,106068.969807956,106105.160713196,106837.484359741,107438.859224319,NaN
110649.181127548,110755.882024765,111881.217002869,NaN,112079.030595157,112264.520645142,112998.237133026,113598.915576935,NaN
116576.953172684,116669.932365417,117725.266933441,NaN,117923.08052573,118141.584396362,118874.973058701,119474.996089935,NaN
122486.334323883,122627.03204155,123653.038978577,NaN,123850.852570865,124030.034780502,124761.334657669,125363.037109375,NaN
128463.381528854,128559.063911438,129596.089363098,129679.401874542,129827.215466831,NaN,131204.424619675,131786.425352097,NaN
134390.457391739,134538.159132004,135572.480916977,NaN,135753.294509265,135785.145282745,136516.486167908,137118.188381195,NaN
140700.50907135,140837.233543396,141965.558767319,NaN,142146.372359607,142175.560712814,142907.556772232,143509.259223938,NaN
146660.598754883,146777.293682098,148258.612155914,NaN,148439.425748203,148572.611570358,149305.304050446,149905.32708168,NaN
152588.330030441,152738.325357437,153769.657373428,153919.652700424,154067.466292713,153983.345508575,154715.382814407,155315.364837646,NaN
158547.723293304,158697.391033173,159714.427947998,NaN,159879.241540287,159932.74474144,160664.740800858,161266.443252563,NaN
164524.770259857,164606.485366821,165673.780202866,165790.475130081,165938.28872237,NaN,167283.835887909,167866.491794586,NaN
170702.521324158,170845.553636551,172099.871635437,NaN,172247.685227726,172403.876781464,173135.872840881,173736.592292786,NaN
176662.610769272,176769.598484039,177810.924530029,NaN,177958.738122318,178018.919467926,178749.932527542,179351.634979248,NaN
182571.991920471,182756.680727005,184104.01892662,NaN,184251.832518909,184407.983064651,185141.003131866,185741.722583771,NaN
188566.733837128,188670.731306076,190031.053781509,NaN,190178.867373798,190258.054018021,190990.091085434,191591.752529144,NaN
194476.114988327,194602.80418396,195691.807746887,NaN,195839.621339176,196026.123285294,196759.143352509,197360.845804214,NaN
200436.163425446,200577.885150909,201618.187189102,201918.178319931,202065.99191222,201950.208902359,202682.901382446,203283.211231232,NaN
206396.253108978,206505.944013596,208111.248254776,NaN,208309.061847064,208329.278469086,209060.578346252,209661.952972412,NaN
212323.328971863,212424.991607666,213838.316440582,NaN,214036.130032871,214156.329870224,214887.629747391,215489.045381546,NaN
218250.363826752,218375.046014786,219649.393558502,219832.402944565,219980.216536853,219879.097223282,220609.414100647,221210.092544556,NaN
224361.14525795,224490.128278732,225742.43927002,NaN,225907.252862308,226137.457609177,226869.453668594,227471.1561203,NaN
230304.523229599,230451.200962067,231752.50005722,231852.524518967,232000.338111255,NaN,233363.211154938,233943.532466888,NaN
236264.571905136,236372.255563736,237396.58331871,NaN,237544.396910999,237631.57081604,238363.607883453,238965.269327164,NaN
242191.647768021,242296.34141922,243639.665603638,NaN,243787.479195926,243954.648017883,244687.340497971,245287.363529205,NaN
248102.380514145,248246.39582634,249250.694036484,NaN,249398.507628772,249464.382410049,250195.723295212,250797.425508499,NaN
