fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
NaN,11742.618560791,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13440.9430027008,13645.6201076508,14745.6419467926,15046.6568470001,15163.4927453938,15129.9695968628,15862.6620769501,16462.6441001892,NaN
19409.019947052,19507.6925754547,20562.6990795135,NaN,20746.5349779073,21000.0290870667,21733.0493927002,22334.7516059875,NaN
25276.0891914368,25447.7934837341,26480.804681778,26630.1040649414,26746.9399633351,NaN,28150.8259773254,28826.1334896088,NaN
31211.1933231354,31379.8666000366,32448.8816261292,NaN,32582.7175245229,32847.2175598145,33578.1898498535,34178.9090633392,NaN
37128.9303302765,37255.9471130371,38466.2742614746,NaN,38600.1101598683,38830.9819698334,39561.995267868,40161.9772911072,NaN
43013.0391120911,43199.0385055542,44250.3588199615,NaN,44384.1947183553,44698.0514526367,45429.0647506714,46029.0467739105,NaN
49700.1276016235,49958.1346511841,50987.1318340302,51288.1469726563,51404.98287105,NaN,52806.4520359039,53384.1519355774,NaN
55717.520236969,55904.2160511017,57356.2071323395,57706.5379619598,57823.3738603535,NaN,59223.5734462738,59899.5773792267,NaN
62254.2858123779,62675.2727031708,64025.6419181824,NaN,64225.4778165761,64361.6368770599,65093.6329364777,65695.3353881836,NaN
68438.6723041534,68453.3770084381,69475.697517395,NaN,69675.5334157887,69866.3740158081,70597.3870754242,71197.4103450775,NaN
74222.7568626404,74301.4409542084,75326.4648914337,NaN,75560.3007898274,75731.4774990082,76461.7941379547,77062.4725818634,NaN
80056.8535327911,80235.5208396912,81260.9136104584,NaN,81494.7495088521,81762.8784179688,82495.570898056,83095.5529212952,NaN
85990.9334182739,86182.626247406,87545.9389686584,NaN,87779.7748670522,87864.9353981018,NaN,NaN,88214.6518230438
92528.0265808105,93083.6899280548,94166.0170555115,NaN,94399.8529539052,94591.0179615021,95324.038028717,95925.740480423,NaN
100050.781011581,100234.814405441,101387.142181396,101688.116073608,101804.951972002,101763.154983521,102496.13404274,NaN,103100.171089172
106002.187252045,106177.864551544,NaN,NaN,NaN,NaN,NaN,NaN,NaN
107439.883232117,107747.902393341,109043.221473694,NaN,109177.057372088,109272.228717804,110003.242015839,110603.961229324,NaN
113507.287979126,114210.980892181,115713.311672211,115830.334424973,115947.170323366,NaN,117333.361625671,118009.365320206,NaN
119977.083921432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
122117.079973221,122350.101470947,NaN,NaN,NaN,NaN,NaN,NaN,NaN
