fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
NaN,17189.4793510437,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18974.8029708862,19156.501531601,20496.5078830719,NaN,20690.0507039362,21050.8604049683,21783.8397026062,22385.5421543121,NaN
24925.8813858032,25117.5739765167,26129.9004554749,26463.9291763306,26590.4719971948,26492.6011562347,27223.6144542694,27823.6374855042,NaN
30877.6559829712,31130.6660175323,32231.0154438019,32499.0165233612,32625.5593442255,NaN,NaN,NaN,33925.0390529633
36895.0486183167,37096.7357158661,38166.0783290863,38483.0677509308,38609.610571795,38517.3923969269,39250.0848770142,39851.7870903015,NaN
42863.1253242493,42978.8374900818,44083.1599235535,NaN,44276.7027444177,44747.8587627411,45478.8720607758,46078.8540840149,NaN
49249.2399215698,49620.9111213684,50636.923789978,50803.2624721527,50929.805293017,NaN,52306.2896728516,52983.2763671875,NaN
55385.0071430206,55576.9865512848,56721.3270664215,NaN,56864.8698872858,57157.018661499,57887.3353004456,58488.0547523499,NaN
61335.3891372681,61568.0828094482,62990.4189109802,63190.4265880585,63316.9694089227,NaN,64710.4520797729,65287.4555587769,NaN
67336.4796638489,67523.175239563,68590.4700756073,68907.5005054474,69034.0433263116,68924.8266220093,69657.5191020966,70259.1805458069,NaN
73387.5415325165,73603.2366752625,74759.2508792877,NaN,74952.793700152,75157.586812973,75888.6001110077,76489.2783164978,NaN
79355.6182384491,79537.3167991638,80559.6375465393,NaN,80753.1803674036,81013.6380195618,81746.6583251953,82348.3605384827,NaN
85290.3945446014,85401.3960361481,86760.7357501984,NaN,86954.2785710626,87193.7239170074,87924.7369766235,88525.4564285278,NaN
92161.4754199982,92513.4856700897,93547.8487014771,NaN,93741.3915223413,93845.8325862885,94578.852891922,95180.5551052094,NaN
98279.5886993408,98495.6119060516,99515.9254074097,99750.5853176117,99877.1281384759,NaN,101236.941814423,101913.928747177,NaN
104279.983043671,104390.65694809,105583.985567093,NaN,105743.528387957,105929.974794388,106660.987854004,107261.707305908,NaN
110148.035526276,110252.729177475,111335.056304932,NaN,111494.599125796,111817.073583603,112548.086643219,113148.765087128,NaN
116015.186786652,116166.820764542,117235.139608383,117603.820562363,117730.363383227,117724.857330322,118455.173969269,119055.852413177,NaN
121933.210611343,122096.886634827,123136.246681213,NaN,123345.789502078,123542.242288589,124273.542165756,124875.244379044,NaN
127850.292205811,128199.967622757,129238.303661346,NaN,129447.846482211,NaN,NaN,NaN,129933.312892914
139570.136070251,139765.146493912,140772.475719452,141041.173458099,141167.716278964,NaN,142543.504238129,143220.491170883,NaN
145520.518064499,145719.214916229,146941.543340683,NaN,147118.086161547,147353.559970856,148084.573030472,148685.25147438,NaN
152040.285110474,152391.312360764,153427.641391754,NaN,153637.184212618,153805.661201477,154536.633253098,155137.352705002,NaN
158157.701969147,158272.390127182,159779.718160629,160113.746881485,160240.289702349,160221.717357635,160952.73065567,161553.449869156,NaN
164995.482444763,165418.476581573,166950.830936432,NaN,167144.373757296,167443.497896194,168174.510955811,168774.533987045,NaN
171180.565357208,171406.582832336,172801.885128021,172968.919992447,173095.462813311,NaN,174472.930192947,175048.95067215,NaN
177164.944410324,177354.629993439,178803.672075272,NaN,178947.214896136,179266.97063446,179997.983694077,180598.703145981,NaN
183116.022825241,183366.738796234,NaN,NaN,NaN,NaN,NaN,NaN,NaN
184804.066181183,185088.738203049,186142.065525055,186459.095954895,186585.638775759,NaN,187961.795568466,188537.119626999,NaN
190856.152057648,191205.827474594,192260.178804398,NaN,192503.721625262,192662.160396576,193394.852876663,193994.875907898,NaN
198595.257282257,198970.942497253,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200585.25800705,201014.969348907,202173.277139664,NaN,202382.819960528,202443.28546524,203176.633358002,203778.335571289,NaN
206771.037101746,207084.053516388,208241.378307343,NaN,208450.921128207,208500.368356705,209233.38842392,209835.090875626,NaN
212972.463130951,213307.147264481,214861.456394196,215178.486824036,215305.0296449,NaN,216682.16919899,217358.173131943,NaN
219073.536872864,219181.220769882,220228.240251541,220628.542423248,220755.085244113,NaN,222148.567914963,222825.595855713,NaN
224941.589355469,225145.283460617,NaN,NaN,NaN,NaN,NaN,NaN,NaN
226328.617811203,226524.324893951,227548.652410507,NaN,227792.195231371,227997.656106949,228728.669166565,229329.347610474,NaN
232279.69622612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
234452.747106552,234734.429121017,235791.442871094,NaN,236034.985691958,236175.770521164,236907.766819,237509.469032288,NaN
240488.489866257,240645.489692688,241774.838685989,NaN,242018.381506854,242205.8198452,242936.832904816,243537.55235672,NaN
246455.911397934,246676.603794098,247759.913921356,248076.903343201,248203.446164065,248136.909723282,248869.930028915,249471.632242203,NaN
252439.962625504,252741.673946381,254027.981758118,254279.680967331,254406.223788195,NaN,255797.044038773,256374.047756195,NaN
258508.063554764,258691.7283535,259712.779283524,260063.069105148,260189.611926013,260147.078037262,260879.074335098,261480.776548386,NaN
264459.141969681,264561.8288517,265763.840913773,266064.856052399,266191.398873263,266177.864551544,266908.877849579,267508.859872818,NaN
270310.237169266,270454.907894135,271564.227581024,NaN,271757.770401888,272131.236791611,272862.249851227,273462.928295135,NaN
276211.303472519,276531.979084015,277598.331928253,NaN,277791.874749117,277894.308805466,278627.328872681,279229.031324387,NaN
282296.361923218,282657.055616379,283684.086799622,NaN,283877.629620486,284107.408285141,284840.428590775,285442.089796066,NaN
288414.47520256,288603.137016296,289668.465614319,NaN,289862.008435183,290133.156776428,290864.169836044,291464.192867279,NaN
294366.249799728,294394.225597382,295435.551643372,NaN,295629.094464236,295892.583370209,296625.562667847,297227.264881134,NaN
300149.638175964,300176.30314827,301302.621126175,NaN,301496.163947039,301596.632003784,302329.652070999,302931.354522705,NaN
306735.719442368,306973.410129547,308040.418148041,308273.726463318,308400.269284182,308351.755142212,309084.73443985,309686.436891556,NaN
312736.809968948,312859.485149384,313890.816926956,313990.800380707,314117.343201571,NaN,315510.825872421,316187.853813171,NaN
318621.860742569,318848.574399948,320092.898130417,320359.916448593,320486.459269457,NaN,321864.582061768,322439.9061203,NaN
325023.949861526,325477.663755417,326495.683431625,326895.985603333,327022.528424197,326939.689874649,327670.662164688,328270.685195923,NaN
331694.040060043,331911.742448807,332948.071241379,NaN,333174.614062243,333343.089580536,334076.068878174,334677.771091461,NaN
337678.13205719,337859.830617905,338932.163476944,NaN,339158.706297808,339363.841056824,340094.85411644,340694.877147675,NaN
343629.906892776,343719.89607811,344766.219139099,345117.246389389,345243.789210253,NaN,346638.582706451,347215.258598328,NaN
349480.960845947,349699.974060059,350784.308195114,NaN,350993.851015978,351180.309534073,351913.329601288,352515.032052994,NaN
355465.380907059,355627.049922943,356735.386610031,NaN,356944.929430895,357179.393053055,357910.406112671,358511.08455658,NaN
361801.155567169,362232.136726379,363656.479597092,NaN,363900.022417956,363979.490280151,364712.510347366,365314.171791077,NaN
367986.238479614,368120.218515396,369172.562837601,NaN,369416.105658465,369594.573736191,370325.586795807,370927.576065063,NaN
373886.608362198,374101.320743561,375240.622997284,NaN,375484.165818148,375556.629419327,376287.642478943,376888.361930847,NaN
380439.716815948,380661.392211914,381726.721048355,NaN,381953.263869219,382136.730670929,382869.750738144,383471.45318985,NaN
386440.807342529,386687.468528748,387862.488031387,388112.79463768,388239.337458544,NaN,389633.516550064,390309.848070145,NaN
392441.856861115,392798.577547073,393846.90785408,NaN,394023.450674944,394217.882633209,394950.902700424,395552.60515213,NaN
398560.953378677,398738.637685776,399763.989448547,400131.973981857,400258.516802722,400177.972078323,400908.985376358,401509.663581848,NaN
404495.03326416,404661.740541458,406016.041994095,406267.044782639,406393.587603503,NaN,407770.071983337,408347.075462341,NaN
410429.113388062,410554.819583893,411583.120346069,NaN,411759.663166934,411956.143140793,412689.163208008,413290.824651718,NaN
416314.205169678,416503.890991211,417517.200231552,NaN,417693.743052416,417879.901170731,418610.914230347,419210.937261581,NaN
423167.959928513,423628.96490097,425024.0213871,NaN,425200.564207964,425329.337358475,426062.316417694,426664.0188694,NaN
429387.080669403,429471.048593521,430489.396095276,NaN,430665.93891614,431028.388738632,431761.409044266,432363.111257553,NaN
435237.438440323,435444.122552872,436475.167751312,NaN,436651.710572176,436929.496049881,437660.795927048,438262.498140335,NaN
441205.228567123,441374.229431152,442575.545310974,NaN,442752.088131838,442983.547925949,443714.560985565,444315.280199051,NaN
447523.636102676,447761.327028275,449044.644832611,NaN,449221.187653475,449453.630447388,450184.643507004,450785.362958908,NaN
453524.68585968,453626.389503479,454644.737005234,454962.70942688,455089.252247744,NaN,456465.736627579,457142.764568329,NaN
459425.79293251,459610.481500626,460813.804388046,NaN,461007.347208911,461195.79744339,NaN,NaN,461578.486680984
465376.871347427,465581.548452377,466748.580694199,467098.870754242,467225.413575106,467270.902633667,468003.881931305,468605.584383011,NaN
471344.94805336,471517.635583878,472565.638065338,NaN,472775.180886202,473007.965087891,473740.985155106,474342.687606812,NaN
477279.028177261,477508.731842041,479102.731227875,479302.042484283,479428.585305148,NaN,480821.085214615,481398.088693619,NaN
483264.799594879,483681.81347847,484752.139091492,NaN,484911.681912356,485023.130655289,485754.143714905,486356.132745743,NaN
489449.186325073,489663.857698441,NaN,NaN,NaN,NaN,NaN,NaN,NaN
490853.213071823,491214.890003204,492725.249052048,NaN,492951.791872912,492983.911275864,493714.924573898,494314.947605133,NaN
497791.304588318,498116.97769165,499211.305856705,NaN,499437.848677569,499642.328023911,500373.341083527,500974.019527435,NaN
503875.380039215,503906.059265137,504928.379774094,505296.405315399,505422.948136263,505389.384746552,506120.397806168,506721.117019653,NaN
510294.467449188,510532.158374786,511565.497159958,NaN,511775.039980822,512086.508512497,512819.815397263,513421.190023422,NaN
516296.541213989,516399.22785759,517432.566642761,NaN,517642.109463625,517717.894077301,518450.586557388,519052.289009094,NaN
522163.610458374,522410.312652588,524002.673625946,NaN,524212.21644681,524417.680263519,525148.652553558,525749.371767044,NaN
528181.699514389,528410.420179367,529518.715858459,529836.729288101,529963.272108965,NaN,531338.773488998,531915.776968002,NaN
534182.79004097,534335.489034653,535436.821460724,535788.503885269,535915.046706133,535862.805366516,536593.818664551,537194.537878036,NaN
540100.854635239,540436.562776566,541471.908807755,NaN,541681.451628619,541886.915445328,542620.590925217,543220.613956451,NaN
546201.969623566,546469.643115997,547505.972146988,547756.974935532,547883.517756396,NaN,549276.017665863,549953.004360199,NaN
552237.71238327,552332.739591599,553675.039768219,NaN,553851.582589083,554046.751737595,554777.068376541,555377.74682045,NaN
558088.110923767,558192.804813385,559241.135120392,NaN,559417.677941256,559543.133020401,560275.825500488,560875.848531723,NaN
563955.87682724,564053.894042969,565560.239076614,NaN,565786.781897479,565948.212146759,566681.232213974,567282.93466568,NaN
569806.971788406,570248.971223831,571277.312994003,NaN,571503.855814868,571678.598165512,572411.331415176,573012.992858887,NaN
576008.356809616,576192.06237793,577229.046821594,577479.394197464,577605.937018328,NaN,579001.3859272,579578.102827072,NaN
581960.131406784,582068.143129349,583447.471141815,NaN,583624.013962679,583832.453966141,584565.146446228,585165.169477463,NaN
587827.200889587,588076.196908951,589097.534418106,NaN,589274.07723897,589454.541683197,590185.554981232,590786.233186722,NaN
593844.593524933,594144.297838211,595165.635585785,595466.609477997,595593.152298861,NaN,596986.348390579,597661.655902863,NaN
599896.679401398,600128.390073776,601250.694036484,NaN,601444.236857348,601706.374168396,602436.731815338,603037.410259247,NaN
606348.7803936,606574.470043182,607586.468696594,607936.799764633,608063.342585497,607992.791891098,608725.812196732,609327.514648438,NaN
613069.538116455,613350.564718246,614422.897577286,NaN,614632.44039815,614796.903371811,615529.882669449,616131.584882736,NaN
619120.92757225,619304.633378983,620557.968378067,620758.959054947,620885.501875811,NaN,622278.984546661,622956.012487411,NaN
625105.716228485,625343.693733215,626476.073980331,NaN,626635.616801196,626999.051094055,627732.071399689,628333.773851395,NaN
631106.110334396,631174.800395966,632276.132822037,632644.813776016,632771.35659688,632701.133728027,633434.153795242,634035.815238953,NaN
636940.862417221,637035.889625549,638395.188093185,NaN,638604.73091405,638826.210260391,639557.223320007,640157.901763916,NaN
642808.259487152,642836.931467056,644045.292377472,644262.298583984,644388.841404849,NaN,645765.981197357,646341.30525589,NaN
648608.359336853,648635.024309158,649729.024887085,650030.040025711,650156.582846575,650160.374641418,650893.353939056,651495.056390762,NaN
654777.426958084,655031.133174896,656064.430952072,656281.437158585,656407.979979449,NaN,657785.447359085,658461.492061615,NaN
660795.515775681,661039.186954498,662500.516891479,NaN,662660.059712344,662899.549007416,663632.241487503,664232.223749161,NaN
666813.891410828,666853.295087814,NaN,NaN,NaN,NaN,NaN,NaN,NaN
668033.598423004,668202.312707901,669371.310949326,NaN,669614.85377019,669655.614376068,670390.313863754,670991.319894791,NaN
673967.678308487,674289.378166199,675472.712516785,675789.702177048,675916.244997912,675820.381164551,676551.394224167,677151.417255402,NaN
680053.474187851,680152.4746418,681289.769887924,NaN,681483.312708788,681510.83111763,682241.80316925,682843.505620956,NaN
685936.845779419,686219.551563263,687591.875553131,687759.565830231,687886.108651095,NaN,689262.59303093,689838.572502136,NaN
691989.627838135,692156.621694565,693174.928426743,693492.941856384,693619.484677249,693593.949079514,694326.969385147,694928.671598434,NaN
697923.707723618,698186.712026596,699377.009630203,699578.73749733,699705.280318194,NaN,701098.722219467,701675.070285797,NaN
704392.111063004,704676.783084869,705813.136339188,NaN,705972.679160052,706228.101968765,706959.1152668,707559.834480286,NaN
710694.175720215,710867.887020111,711948.207139969,712199.209928513,712325.752749377,NaN,713720.914840698,714296.23913765,NaN
716629.279613495,716766.946315765,718267.270088196,NaN,718493.81290906,718670.275449753,719402.312517166,720003.973960876,NaN
722530.345916748,722724.045753479,724286.055326462,NaN,724512.598147326,724718.388080597,725451.367378235,726053.069829941,NaN
728481.424331665,728683.111429214,729918.423891068,NaN,730144.966711932,730399.458169937,731130.471467972,731731.149673462,NaN
734432.502746582,734640.210866928,735752.520561218,NaN,735979.063382083,736123.536348343,736857.539415359,737458.217859268,NaN
740399.596452713,740550.288200378,741603.615760803,NaN,741830.158581667,742072.607755661,742807.307243347,743408.640861511,NaN
746317.661046982,746321.347475052,747353.662490845,NaN,747580.205311709,747640.382289886,748371.682167053,748972.401618958,NaN
752084.747076035,752203.449249268,753271.768093109,NaN,753498.310913973,753540.055990219,754272.789478302,754874.450922012,NaN
757968.815088272,758055.527448654,759105.823755264,759456.850767136,759583.393588,NaN,760976.876497269,761652.880430222,NaN
763820.606470108,763978.589057922,765340.918779373,NaN,765550.461600237,765792.625665665,766525.604724884,767125.627756119,NaN
769737.974643707,769852.662801743,770925.691843033,NaN,771135.234663897,771341.681480408,772072.694778442,772672.717809677,NaN
775605.044126511,775661.732912064,776842.07701683,NaN,777051.619837695,777262.080907822,777994.077205658,778595.779418945,NaN
781423.125505447,781744.825363159,782810.153961182,NaN,783019.696782046,783127.143383026,783860.163450241,784461.865901947,NaN
787507.897377014,787616.891860962,788661.248922348,NaN,788870.791743212,788979.917764664,789710.275411606,790310.953855515,NaN
793375.294446945,793486.992359161,794679.337978363,NaN,794888.880799227,795100.324869156,795833.344936371,796435.047388077,NaN
799243.060112,799346.074581146,800362.415075302,NaN,800571.957896166,800752.395153046,801485.415458679,802087.117671967,NaN
805111.1536026,805301.167011261,806447.473526001,NaN,806657.016346865,806843.47486496,807576.494932175,808178.197383881,NaN
811062.232017517,811098.235845566,812348.539829254,NaN,812575.082650118,812704.564094543,813435.904979706,814037.279605865,NaN
816878.633975983,817085.318088531,818115.625858307,818367.32506752,818493.867888384,NaN,819870.352268219,820445.67656517,NaN
822846.710681915,823035.372495651,824100.701093674,NaN,824277.243914538,824495.719432831,825228.739500046,825830.441951752,NaN
828798.485517502,828994.478940964,830034.781217575,830385.808229446,830512.351050311,830425.785303116,831158.805370331,831760.507822037,NaN
835818.865537643,836038.574934006,837156.578302383,NaN,837366.121123248,837613.896608353,838344.909667969,838945.588111877,NaN
841802.957773209,841900.64740181,842939.966440201,843190.969228745,843317.512049609,843237.991333008,843969.004392624,844569.682836533,NaN
847671.051263809,847961.744308472,849560.044527054,849727.734804153,849854.277625018,NaN,851229.082584381,851806.086063385,NaN
853722.112894058,853952.79955864,854993.142604828,NaN,855136.685425692,855254.836082458,855985.849380493,856585.831403732,NaN
859707.884550095,859875.902414322,861061.202764511,NaN,861204.745585375,861487.227916718,862218.240976334,862818.919420242,NaN
865641.268253326,865773.978471756,866845.287322998,NaN,866988.830143862,867233.997821808,867964.314460754,868564.992904663,NaN
871543.030738831,871547.044754028,872629.371881485,872830.075740814,872956.618561678,NaN,874351.412057877,875028.112411499,NaN
