fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
30600.848197937,30756.5371990204,32015.8524513245,NaN,NaN,32252.8879642487,32985.8672618866,33587.569475174,NaN
36676.9366264343,36812.5960826874,37908.9314937592,NaN,NaN,38137.9389762878,38870.9590435028,39472.6204872131,NaN
42737.0095252991,42841.6624069214,43935.9908103943,NaN,44087.574004971,44164.6704673767,44895.6835269928,45495.7065582275,NaN
48748.7497329712,48900.7523059845,49913.0787849426,NaN,50064.6619795194,50142.0860290527,50873.0583190918,51473.7775325775,NaN
54808.126449585,54953.821182251,56439.1536712646,56572.1507072449,56673.7339018216,NaN,NaN,NaN,57138.8323307037
60868.1993484497,61025.895357132,62083.8921070099,NaN,62202.4753015866,62299.8743057251,63033.2219600677,63633.9004039764,NaN
66945.2707767487,67094.9385166168,68110.2550029755,NaN,68228.8381975522,68471.9727039337,69202.9449939728,69802.9680252075,NaN
73005.3026676178,73158.0016613007,74238.0349636078,74370.3355789185,74471.9187734952,74449.3474960327,75182.3267936707,75784.029006958,NaN
79081.3910961151,79236.0560894012,80263.4146213531,NaN,80381.9978159299,80488.0802631378,81219.0933227539,81819.1165924072,NaN
85142.1194076538,85240.1366233826,86340.4450416565,NaN,86459.0282362332,86551.4709949493,87284.4913005829,87886.1527442932,NaN
91152.5077819824,91418.2152748108,92468.2250022888,NaN,92586.8081968656,92799.5502948761,93530.5635929108,94131.2417984009,NaN
97329.2758464813,97477.2644042969,98494.5878982544,NaN,98613.1710928311,98694.5955753326,99427.6156425476,100029.318094254,NaN
103389.348745346,103497.319459915,104570.676088333,NaN,104689.25928291,104788.665294647,105520.00617981,106121.380805969,NaN
109415.711641312,109669.417858124,110714.717149734,NaN,110833.300344311,110948.721647263,111680.062294006,112281.437158585,NaN
115575.767993927,115687.465906143,116857.815980911,NaN,116976.399175488,117077.484369278,117808.497667313,118408.520698547,NaN
121603.523492813,121740.53478241,122751.878023148,NaN,122870.461217724,123115.84854126,123846.861839294,124447.58105278,NaN
127646.598100662,127748.588562012,128877.937555313,128927.949666977,129029.532861554,NaN,130453.955411911,131035.956144333,NaN
133656.986474991,133805.671453476,134822.011947632,NaN,134923.595142209,135059.00645256,135792.026519775,136393.687963486,NaN
139717.059612274,139829.740524292,140982.068061829,NaN,141133.651256405,141203.743696213,141934.756755829,142534.779787064,NaN
145743.094682693,145859.789848328,NaN,NaN,NaN,NaN,NaN,NaN,NaN
147392.144203186,148185.826301575,149223.834514618,149356.135368347,149457.718562924,NaN,NaN,NaN,149530.829668045
154101.187467575,154302.91557312,155316.22505188,155450.901508331,155552.484702908,NaN,NaN,NaN,155577.222108841
160211.272716522,160360.981464386,161410.294771194,NaN,161528.877965771,161599.284172058,162332.304239273,162934.006690979,NaN
166271.345615387,166422.037363052,167438.050270081,NaN,167556.633464657,167766.344547272,168497.357845306,169098.077058792,NaN
172331.418514252,172441.109418869,173463.430166245,NaN,173582.013360821,173903.422355652,174636.442661285,175238.104104996,NaN
178358.477830887,178527.151107788,179673.498630524,NaN,179792.0818251,179958.498239517,180691.477537155,181293.179750443,NaN
184452.219724655,184456.233978271,185983.550310135,186117.243766785,186218.826961361,186186.261415482,186917.233705521,187517.256736755,NaN
190362.583875656,190553.293704987,191595.316171646,191644.632101059,191746.215295636,NaN,193170.310020447,193750.631332397,NaN
196455.670595169,196601.365327835,197620.69606781,NaN,197722.279262387,197851.669549942,198584.689617157,199186.392068863,NaN
202515.743732452,202612.409353256,203648.451566696,203847.762823105,203949.346017682,NaN,205373.768568039,205956.465482712,NaN
208525.804519653,208679.486274719,209758.495569229,NaN,209910.078763806,209979.80260849,210712.822675705,211314.525127411,NaN
214602.875947952,214799.565792084,215934.895038605,NaN,216069.478233181,216130.888700485,216863.9087677,217465.570211411,NaN
220712.919950485,220886.631250381,221927.95753479,221978.625059128,222080.208253705,NaN,NaN,NaN,222444.954633713
226806.9896698,226966.692686081,228005.02872467,228055.696249008,228157.279443585,NaN,229581.046819687,230162.023305893,NaN
232883.774280548,233144.771575928,234182.08360672,NaN,234283.666801297,234364.765167236,235097.785234451,235698.791265488,NaN
239060.132741928,239197.840213776,240741.172075272,NaN,240892.755269848,240934.831142426,241665.844202042,242265.867233276,NaN
245103.903770447,245347.902297974,246918.226957321,NaN,247069.810151898,247121.2246418,247854.244709015,248455.906152725,NaN
251263.959884644,251416.945695877,252795.290470123,252928.983926773,253030.56712135,NaN,NaN,NaN,253758.301019669
257323.377609253,257470.014333725,258805.351257324,NaN,258923.934451901,259036.365747452,259769.34504509,260371.047258377,NaN
263633.388519287,263782.073259354,265115.403175354,NaN,265233.986369931,265321.431875229,266052.445173264,266653.123617172,NaN
269693.461418152,269852.140426636,270875.485181808,NaN,270994.068376385,271172.486066818,271905.506134033,272507.49540329,NaN
275771.229028702,275909.2233181,276935.558080673,277070.234537125,277171.817731701,NaN,NaN,NaN,277457.552194595
281814.590454102,282016.277551651,283478.631258011,NaN,283597.214452588,283678.311347961,284411.331415176,285012.337684631,NaN
287924.67546463,288027.362346649,289056.687116623,NaN,289175.2703112,289287.373781204,290018.38684082,290618.368864059,NaN
293934.736251831,294082.437992096,295267.451763153,NaN,295386.03495773,295475.44670105,296206.459760666,296806.442022324,NaN
299994.809389114,300148.49114418,301160.489797592,301292.831659317,301394.414853894,NaN,NaN,NaN,301425.828695297
306054.882287979,306156.544923782,307286.877155304,NaN,307405.460349881,307670.877218246,308403.897285461,309005.599737167,NaN
312064.94307518,312166.605710983,313397.617578506,NaN,313516.200773083,313611.6335392,314342.646598816,314942.669868469,NaN
318075.003862381,318186.701774597,319224.70998764,NaN,319343.293182217,319422.014474869,320153.027534485,320753.705978394,NaN
324102.062940598,324278.764486313,325684.757471085,325817.099094391,325918.682288968,NaN,NaN,NaN,326480.07774353
330195.14966011,330327.819108963,331494.155168533,331627.152204514,331728.73539909,NaN,NaN,NaN,332170.159101486
336239.207267761,336345.867156982,337404.232740402,NaN,337522.815934979,337718.231916428,338451.211214066,339052.913665771,NaN
342266.266584396,342425.969600677,343481.262922287,343614.301204681,343715.884399258,343680.984020233,NaN,NaN,344092.95964241
354037.064552307,354139.096021652,355535.422325134,355585.10684967,355686.690044247,NaN,357110.416412354,357691.433906555,NaN
360113.480567932,360282.153844833,361413.182497025,NaN,361514.765691601,361605.489492416,362336.502790451,362937.180995941,NaN
366190.510988235,366303.232908249,367738.553285599,NaN,367840.136480175,367989.228487015,368719.54536438,369321.247577667,NaN
372216.587305069,372434.289693832,373499.290466309,NaN,373600.873660885,373711.299419403,374442.312717438,375042.294740677,NaN
378527.33540535,378697.360277176,380258.673667908,NaN,380360.256862484,380463.678359985,381196.698665619,381798.400878906,NaN
384604.40659523,384706.39705658,385985.741853714,NaN,386087.325048291,386223.432540894,386954.445838928,387554.427862167,NaN
390613.812208176,390777.488231659,391929.488420486,NaN,392031.071615063,392144.487380981,392875.500440598,393475.523471832,NaN
396690.842628479,396846.531629562,397855.867862701,NaN,397957.451057278,398069.883823395,398803.559303284,399403.582334518,NaN
402750.915527344,402845.615148544,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404065.936326981,404197.622776031,405714.658260345,NaN,405816.241454922,405991.670608521,406722.64289856,407322.665929794,NaN
410109.993934631,410254.705667496,411292.713880539,NaN,411444.297075116,411483.01410675,412214.027166367,412814.705610275,NaN
416170.066833496,416256.779193878,417269.105672836,NaN,417420.688867413,417463.092088699,418196.112394333,418797.773838043,NaN
