fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
16837.4691009521,16959.1612815857,18302.4854660034,NaN,18523.4591490405,18545.173406601,19277.2104740143,19877.192735672,NaN
22664.5615100861,22835.2417945862,23914.2510890961,24096.5640544891,24250.5377375262,24150.5494117737,24883.5694789886,25485.2719306946,NaN
28541.6662693024,28620.3093528748,29640.6230926514,NaN,29811.5967756884,29857.6290607452,30590.6493663788,31191.3275718689,NaN
34451.6618251801,34681.3654899597,36183.696269989,36284.3759059906,36438.3495890276,NaN,37793.3833599091,38593.7416553497,NaN
40661.7302894592,40817.4192905426,41843.7538146973,42061.4562034607,42215.4298864977,NaN,NaN,NaN,42195.4364776611
46939.5055770874,47097.4884033203,48286.8437767029,48503.8089752197,48657.7826582568,48570.8196163177,49303.8396835327,49904.5181274414,NaN
52931.8716526031,53056.5538406372,54213.8786315918,NaN,54384.8523146288,54430.8848381042,55161.8978977203,55763.6003494263,NaN
58858.9475154877,58972.6114273071,60323.9638805389,NaN,60494.937563576,60702.6391029358,61433.9797496796,62034.6581935883,NaN
64786.0233783722,64937.6981258392,65968.7023162842,66068.0303573608,66222.0040403979,NaN,67561.0222816467,68363.0602359772,NaN
70746.7682361603,70894.7567939758,72045.0773239136,NaN,72199.0510069506,72322.0899105072,73055.7653903961,73655.7884216309,NaN
76723.1600284576,76865.8237457275,77905.1427841187,78105.1504611969,78259.1241442339,78120.1417446136,78853.1618118286,79454.8642635345,NaN
82683.2087039948,82852.9059886932,83915.2035713196,84032.9225063324,84186.8961893694,NaN,85524.2352485657,86325.2489566803,NaN
88677.2539615631,88820.9416866302,89992.9711818695,NaN,90146.9448649065,90246.3088035583,90979.2881011963,91580.9903144836,NaN
94837.3513221741,94986.0360622406,96052.3478984833,NaN,96256.3215815203,96257.0250034332,96987.3416423798,97588.0610942841,NaN
100847.412109375,100992.082834244,102180.086612701,NaN,102384.060295738,102420.398950577,103153.41925621,103754.138469696,NaN
106808.157205582,106983.13832283,108039.496660233,NaN,108243.47034327,108357.469081879,109090.489387512,109691.167593002,NaN
112818.217992783,112965.223312378,113999.54533577,NaN,114203.519018807,114330.543041229,115063.563108444,115665.26556015,NaN
118794.609546661,118916.301727295,119976.592302322,120093.615055084,120247.588738121,NaN,121571.328878403,122151.650190353,NaN
124721.685409546,124874.343395233,126186.660766602,NaN,126373.634449639,126387.692451477,127119.688749313,127720.366954803,NaN
130681.734085083,130865.398645401,131880.756139755,132096.73833847,132250.712021507,132164.076566696,132897.465229034,133497.447252274,NaN
136675.77958107,136915.477514267,137957.827568054,NaN,138128.801251091,138218.824625015,138950.820684433,139552.523136139,NaN
142818.878412247,142961.542129517,144433.890342712,144567.583560944,144721.557243981,NaN,146044.888019562,146625.905513763,NaN
148979.630947113,149112.628221512,150443.951129913,NaN,150597.92481295,150675.948381424,151407.94467926,152008.991718292,NaN
154938.983440399,155027.70280838,156121.703386307,NaN,156275.677069344,156482.028484344,157213.000535965,157814.702987671,NaN
160833.045482635,160948.757410049,162098.094940186,162348.073959351,162502.047642388,NaN,NaN,NaN,162478.08098793
166760.817527771,166916.793346405,168125.154256821,NaN,168312.127939858,168473.846673965,169205.146551132,169805.824995041,NaN
172753.183603287,172884.870052338,173902.889966965,174185.227155685,174339.200838722,NaN,NaN,NaN,174298.194885254
178697.257995605,178788.926362991,179912.254333496,NaN,180099.228016533,180215.276479721,180948.95195961,181548.974990845,NaN
184607.335329056,184744.018793106,185989.325761795,186255.320072174,186409.293755211,186319.012880325,187050.025939941,187650.048971176,NaN
190568.080425262,190695.056200027,191733.392238617,191833.416700363,191987.3903834,NaN,193344.430923462,193925.448656082,NaN
196511.458158493,196664.157152176,197693.48192215,NaN,197847.455605187,197933.466434479,198667.142152786,199267.165184021,NaN
202471.50683403,202617.201566696,203720.541000366,NaN,203874.514683403,204108.227491379,204839.240550995,205439.222812653,NaN
208431.596517563,208600.269794464,209631.273984909,209846.600532532,210000.574215569,209868.268489838,210600.305557251,211200.28758049,NaN
214408.643484116,214519.317388535,215973.684072495,216056.668996811,216210.642679848,NaN,217566.700458527,218368.697166443,NaN
220385.731458664,220541.420459747,221600.728034973,NaN,221754.70171801,221868.032932281,222600.725412369,223202.427864075,NaN
226346.476554871,226440.479755402,227477.791786194,NaN,227631.765469231,227891.815423965,228622.787475586,229223.50692749,NaN
232272.855997086,232369.521617889,233404.86741066,NaN,233558.841093697,233744.548797607,234476.544857025,235076.56788826,NaN
238182.892560959,238342.59557724,239382.610797882,NaN,239586.584480919,239588.926315308,240321.946620941,240923.608064651,NaN
244159.980535507,244317.676544189,245391.975402832,NaN,245595.949085869,245610.988378525,246344.008684158,246945.711135864,NaN
250553.05814743,250689.741849899,252118.057966232,252318.761825562,252472.735508599,252348.048210144,253081.764698029,253681.746959686,NaN
256497.091531754,256702.792644501,258128.118753433,NaN,258299.09243647,258385.142803192,259118.162870407,259719.824314117,NaN
262507.19332695,262654.854059219,263739.884376526,NaN,263910.858059563,264129.209280014,264862.884759903,265462.907791138,NaN
269283.246994019,269416.940450668,270432.256937027,NaN,270603.230620064,270793.278455734,271524.29151535,272124.969959259,NaN
275526.329278946,275658.998727798,276809.032678604,276908.319711685,277062.293394722,NaN,278417.367935181,279218.340873718,NaN
281687.081813812,281797.05953598,282935.419797897,NaN,283089.393480934,283228.406667709,283960.402965546,284562.105178833,NaN
287613.461494446,287775.13051033,288945.480585098,NaN,289099.454268135,289282.171726227,290012.488603592,290613.167047501,NaN
293590.508460999,293734.196186066,295039.222717285,NaN,295193.196400322,295305.87220192,296037.868499756,296639.243125916,NaN
299550.598144531,299713.250160217,300750.275611877,NaN,300904.249294914,301127.599000931,301860.291481018,302460.314512253,NaN
