fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
13916.1200523376,14064.8047924042,15148.1149196625,15198.1270313263,15308.6852706902,15451.1370658875,16184.1161251068,16785.8185768127,NaN
18978.16157341,19134.833574295,20226.1717319489,NaN,20336.7299713127,20510.8437538147,21241.2016391754,21841.8800830841,NaN
25054.2500019073,25387.9101276398,26470.9334373474,26519.225358963,26629.7835983269,26684.2532157898,27417.2322750092,28018.9757347107,NaN
31298.2742786407,31455.970287323,32664.003610611,NaN,32774.5618499748,32905.298948288,33638.3190155029,34240.0214672089,NaN
37374.3624687195,37482.0463657379,38857.0735454559,38906.3894748688,39016.9477142326,NaN,40432.0676326752,41233.0813407898,NaN
43401.4217853546,43543.1025028229,44784.1084003448,NaN,44944.6666397087,45043.4262752533,45774.4393348694,46375.1587867737,NaN
49461.4946842194,49629.184961319,50993.5216903687,NaN,51154.0799297325,51162.5225543976,51895.5018520355,52497.2040653229,NaN
55538.5661125183,55761.2655162811,56787.5592708588,NaN,56948.1175102226,56986.870765686,57718.5802459717,58320.282459259,NaN
61681.6239356995,61773.2925415039,62797.6200580597,62847.6324081421,62958.190647506,NaN,64374.6621608734,64957.3590755463,NaN
67692.3811435699,67808.3798885345,69140.6857967377,NaN,69251.2440361015,69451.4083862305,70182.4214458466,70782.4034690857,NaN
73718.7440395355,73897.4525928497,75201.455116272,NaN,75312.0133556358,75416.454076767,76149.4741439819,76750.4804134369,NaN
79812.8547668457,80038.503408432,81410.8271598816,NaN,81521.3853992455,81699.8410224915,82432.8610897064,83034.5225334167,NaN
85955.8715820313,86060.5654716492,87171.605348587,NaN,87282.1635879509,87355.884552002,88087.2251987457,88688.600063324,NaN
91965.9733772278,92119.6553707123,93131.9818496704,NaN,93242.5400890343,93332.9725265503,94064.272403717,94665.6880378723,NaN
98026.0055065155,98150.6876945496,99541.0339832306,99674.0310192108,99784.5892585747,NaN,101201.757192612,102002.729892731,NaN
104070.759296417,104162.755489349,105268.102169037,NaN,105428.660408401,105484.084129333,106217.432022095,106818.806648254,NaN
110080.164909363,110247.854948044,111845.172166824,112044.155836105,112154.714075469,NaN,113572.168588638,114154.210329056,NaN
116157.195091248,116253.901720047,117588.214635849,NaN,117731.772875213,117844.91109848,118575.924158096,119175.947189331,NaN
122167.952299118,122312.950611115,123449.304103851,NaN,123592.862343215,123663.279056549,124396.299123764,124998.00157547,NaN
128227.329015732,128376.054763794,129442.366361618,NaN,129635.924600982,129652.368307114,130383.38136673,130984.059810638,NaN
134287.401914597,134399.099826813,135419.413328171,NaN,135562.971567535,135623.435258865,136356.45532608,136958.116769791,NaN
140314.461231232,140495.176553726,141546.496868134,141596.509218216,141707.06745758,NaN,NaN,NaN,142025.483131409
146407.547950745,146539.234161377,147639.542818069,NaN,147750.101057433,147862.56980896,148595.590114594,149197.251558304,NaN
152452.301740646,152606.311321259,153916.621685028,NaN,154027.179924392,154262.651920319,154995.630979538,155597.661018372,NaN
