fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
NaN,21565.1543140411,22572.4835395813,NaN,NaN,NaN,NaN,NaN,23268.4757709503
33572.6191997528,33798.3088493347,34909.6355438232,35210.6504440308,35346.4663036012,NaN,36729.6521663666,37406.6801071167,NaN
39557.4486255646,39799.3993759155,40960.7381820679,NaN,41163.5540416383,41266.7503356934,41999.7296333313,42601.4320850372,NaN
46444.5040225983,46730.4866313934,47831.8192958832,NaN,48084.6351554536,48188.4989738464,48919.5120334625,49519.862651825,NaN
52496.5896606445,52585.5548381805,53598.9053249359,NaN,53851.7211845064,54043.6079502106,54774.6210098267,55374.6032714844,NaN
58848.0112552643,59074.6428966522,60520.694732666,NaN,60773.5105922365,60957.0007324219,61690.3076171875,62292.0098304749,NaN
64832.7586650848,65160.7253551483,66186.0771179199,NaN,66438.8929774904,66533.0901145935,67266.0694122314,67867.7718639374,NaN
70917.1209335327,71094.8464870453,72121.8364238739,NaN,72374.6522834444,72515.1753425598,73246.1476325989,73846.8668460846,NaN
76852.2250652313,77020.8983421326,78306.2229156494,NaN,78559.0387752199,78621.2463378906,79352.2593975067,79952.9378414154,NaN
82786.3049507141,83029.9758911133,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84224.3285179138,84394.0258026123,85511.3327503204,NaN,85714.1486098909,85746.3202476501,86478.3573150635,87080.0597667694,NaN
90158.4086418152,90277.0698070526,91311.4326000214,91563.090801239,91698.9066608095,91641.1197185516,92372.1327781677,92972.1148014069,NaN
96043.1728363037,96211.1496925354,97229.4971942902,97379.4927597046,97515.308619275,NaN,98900.5424976349,99577.2016048431,NaN
101977.252721786,102056.264638901,103163.577318192,NaN,103316.393177762,103557.571411133,104290.591716766,104892.294168472,NaN
107810.653209686,107912.31584549,108930.663347244,NaN,109083.479206815,109319.332838058,110049.649477005,110650.368928909,NaN
113662.403583527,113710.408687592,114865.726470947,NaN,115018.542330518,115205.735445023,115936.748504639,116537.426948547,NaN
121185.526609421,121665.496110916,123240.85855484,NaN,123393.674414411,123558.544397354,124288.861036301,124889.539480209,NaN
127419.884443283,127713.60874176,128757.597208023,NaN,128910.413067594,129190.91296196,129923.933029175,130525.635480881,NaN
133470.987081528,133687.665700912,134791.988134384,NaN,134944.803993955,135013.991355896,135747.011423111,136348.713874817,NaN
139456.062316895,139594.753026962,140659.098625183,NaN,140811.914484754,140881.101846695,141612.401485443,142214.103937149,NaN
145357.128620148,145456.825256348,146878.178119659,NaN,147030.99397923,147158.180713654,147889.194011688,148489.872217178,NaN
151224.239110947,151484.90858078,NaN,NaN,NaN,NaN,NaN,NaN,NaN
152678.933382034,152797.922134399,153815.245866776,NaN,154018.061726346,154161.275863647,154892.288923264,155492.967367172,NaN
158980.342626572,159154.013156891,160201.360225677,NaN,160404.176085248,NaN,NaN,NaN,160291.390419006
171250.484228134,171513.201475143,172554.527759552,172906.210184097,173042.026043668,172944.548845291,173677.52790451,174279.230356216,NaN
177268.573045731,177558.283090591,NaN,NaN,NaN,NaN,NaN,NaN,NaN
179309.282302856,179577.283620834,180695.614337921,NaN,180914.430197492,181093.622684479,181826.642990112,182428.3452034,NaN
185342.690229416,185431.368589401,186462.700366974,NaN,186681.516226544,186948.731899261,187681.710958481,188283.413410187,NaN
191562.466144562,191919.473648071,193082.778453827,NaN,193285.594313397,193334.47766304,194064.794540405,194665.51399231,NaN
197679.842233658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
199835.935592651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
201976.628065109,202146.612167358,203262.935876846,NaN,203465.751736417,203699.938297272,204433.941364288,205034.947395325,NaN
207910.011768341,208000.697374344,209030.022144318,209331.037044525,209466.852904096,209357.005834579,210090.025901794,210691.7283535,NaN
213778.064250946,213868.749856949,215032.79209137,215282.115459442,215417.931319013,215341.794252396,216072.807312012,216672.789335251,NaN
219629.159450531,219939.841032028,221200.87647438,NaN,221386.692333951,221626.205205917,222359.184265137,222960.886716843,NaN
225713.931083679,225846.928358078,226900.255680084,227101.246356964,227237.062216535,NaN,228620.288848877,229296.989202499,NaN
231599.023103714,231623.025655746,232651.326417923,NaN,232820.142277493,233024.0213871,233755.034446716,234355.057477951,NaN
237383.066654205,237505.086421967,238552.433490753,NaN,238721.249350324,238854.104042053,239584.420681,240185.140132904,NaN
243266.47901535,243516.171216965,244553.483247757,NaN,244722.299107327,245001.503705978,245734.523773193,246336.226224899,NaN
249284.568071365,249414.247274399,250437.592029572,NaN,250606.407889142,250834.576368332,251567.596435547,252169.298887253,NaN
255169.332265854,255187.313556671,256355.65662384,NaN,256524.472483411,256704.676866531,257437.655925751,258039.358377457,NaN
260952.720403671,261106.402158737,NaN,NaN,NaN,NaN,NaN,NaN,NaN
262791.742324829,263075.431346893,264228.783130646,NaN,264397.598990216,264582.47256279,265313.772439957,265914.491891861,NaN
268825.846672058,268990.505933762,NaN,NaN,NaN,NaN,NaN,NaN,NaN
270163.84601593,270473.544597626,271767.880678177,NaN,271936.696537747,272113.869667053,272846.889972687,273448.592424393,NaN
